ENV,ENV_VEL,ENV_ACC,time_ms
0.000173584,5.82E-05,-8.59E-05,5640
0.000175893,5.85E-05,0.000128267,5680
0.000178326,6.25E-05,-1.38E-05,5720
0.00018078,5.99E-05,-5.15E-07,5760
0.000183243,6.46E-05,0.000133935,5800
0.000185862,6.43E-05,-0.000104594,5840
0.000188396,6.47E-05,0.000158791,5880
0.000191113,6.94E-05,-2.61E-05,5920
0.000193815,6.63E-05,7.25E-06,5960
0.000196565,7.20E-05,0.000155237,6000
0.000199468,7.13E-05,-0.000127266,6040
0.000202295,7.21E-05,0.000197053,6080
0.000205318,7.76E-05,-4.21E-05,6120
0.000208343,7.38E-05,1.75E-05,6160
0.000211404,8.09E-05,0.000182117,6200
0.000214672,7.97E-05,-0.000156714,6240
0.000217818,8.09E-05,0.000247152,6280
0.000221238,8.74E-05,-6.43E-05,6320
0.000224617,8.26E-05,3.25E-05,6360
0.00022808,9.16E-05,0.000215395,6400
0.000231761,8.97E-05,-0.00019439,6440
0.000235317,9.16E-05,0.000312651,6480
0.000239189,9.92E-05,-9.45E-05,6520
0.000243025,9.33E-05,5.35E-05,6560
0.000246948,0.000104662,0.000257903,6600
0.000251159,0.000101834,-0.000243782,6640
0.000255186,0.000104652,0.000399948,6680
0.000259643,0.000113882,-0.000136273,6720
0.00026401,0.000106379,8.33E-05,6760
0.000268528,0.000120974,0.000313331,6800
0.000273371,0.000116754,-0.00030968,6840
0.000278005,0.000120909,0.000518454,6880
0.000283168,0.000132171,-0.000194603,6920
0.000288222,0.000122622,0.000126208,6960
0.000293461,0.000141591,0.000386884,7000
0.000299127,0.000135521,-0.000398526,7040
0.0003045,0.000141488,0.000681604,7080
0.00031059,0.000155598,-0.000275919,7120
0.000316491,0.000143162,0.000187655,7160
0.00032268,0.000168335,0.000488447,7200
0.000329385,0.000159558,-0.000521749,7240
0.000335732,0.000168256,0.000912215,7280
0.000343011,0.000186247,-0.000391491,7320
0.000350041,0.000169908,0.000278204,7360
0.000357456,0.000203833,0.000631932,7400
0.000365565,0.000191339,-0.000694033,7440
0.000373175,0.000203956,0.001243598,7480
0.000382081,0.000227685,-0.000554073,7520
0.000390603,0.000205761,0.000411203,7560
0.000399707,0.000252577,0.000845094,7600
0.000409719,0.000234795,-0.000940342,7640
0.000419087,0.000253394,0.001732633,7680
0.00043024,0.000285733,-0.000781872,7720
0.000440876,0.000256052,0.000611467,7760
0.000452344,0.000322015,0.00117349,7800
0.000465108,0.000297307,-0.001288043,7840
0.000476985,0.000324904,0.002462061,7880
0.000491439,0.000371129,-0.001077395,7920
0.000505182,0.000330879,0.000910563,7960
0.000520197,0.000425836,0.001707054,8000
0.000537101,0.000393517,-0.001747301,8040
0.000552884,0.00043492,0.00353589,8080
0.000572398,0.000504541,-0.00135628,8120
0.00059116,0.000453172,0.001344711,8160
0.000611822,0.000589805,0.002597837,8200
0.000635499,0.000558227,-0.002113203,8240
0.000657996,0.00061901,0.004860087,8280
0.000685862,0.000730266,-0.000983432,8320
0.000713783,0.000686925,0.001826711,8360
0.000744466,0.000862631,0.003983802,8400
0.000780319,0.000896269,-0.000605759,8440
0.000816914,0.000968539,0.004185165,8480
0.000859257,0.001149872,0.004544122,8520
0.000908578,0.0012932,0.000977129,8560
0.000959737,0.001278002,0.003922705,8600
0.001020909,0.001911368,0.020264941,8640
0.001101657,0.001760952,-0.028174131,8680
0.001162047,0.001936631,0.066419698,8720
0.001302131,0.004468414,-0.025186913,8760
0.001393914,-0.000316836,-0.058360793,8800
0.001527262,0.011353601,0.499236222,8840
0.00203016,0.000231072,-1.369569138,8880
0.001254033,-0.004062895,4.20783386,8920
0.009867915,0.585514147,25.84258621,8960
0.055954401,1.683694068,20.09297399,9000
0.128641094,1.673683069,-19.25689911,9040
0.179688409,1.023554509,2.214072866,9080
0.240184884,2.400127328,58.50427041,9120
0.377435866,4.08951299,3.877482066,9160
0.514584045,2.104413935,-91.78485135,9200
0.523622408,-1.461043862,-64.57531283,9240
0.436107415,-2.38630724,12.37553076,9280
0.358263029,-1.430147232,24.78136219,9320
0.316673048,-0.75426323,9.53467649,9360
0.291475239,-0.564144158,0.585727155,9400
0.267719126,-0.651148018,-3.299046233,9440
0.240320482,-0.673751382,3.079589427,9480
0.217146496,-0.467340748,5.802582454,9520
0.203112084,-0.223132706,7.620141645,9560
0.201851124,0.190608811,11.6511102,9600
0.216740945,0.474100658,0.124072655,9640
0.232474034,0.262872609,-6.92695494,9680
0.24015343,0.206501083,5.125990869,9720
0.254062807,0.487891808,4.945962287,9760
0.273865687,0.407729469,-8.621874448,9800
0.282028747,0.00394504,-8.084799721,9840
0.279288941,-0.041338033,6.359202707,9880
0.284985652,0.341219838,8.225616911,9920
0.29995225,0.244067164,-15.36285066,9960
0.292585106,-0.668725039,-23.18087313,10000
0.253703857,-1.079122765,4.962887733,10040
0.219487419,-0.579177279,12.73587358,10080
0.202041693,-0.402338147,-2.395352007,10120
0.185340134,-0.343260288,10.25697895,10160
0.184683307,0.384483756,20.62037674,10200
0.212168572,0.845700866,-0.00152408,10240
0.241475422,0.549998565,-10.40718689,10280
0.25638578,0.231779342,-5.427488631,10320
0.261733914,0.040864225,-4.266406103,10360
0.261388807,-0.004615832,3.550297547,10400
0.266335987,0.283083248,7.730711711,10440
0.280369366,0.301035427,-9.233422403,10480
0.281334131,-0.281825894,-12.56749683,10520
0.270299232,0.078925536,38.58273041,10560
0.319945453,2.68163983,77.44529306,10600
0.474607604,4.444598963,-12.01836487,10640
0.604922539,1.246794791,-130.396035,10680
0.555602352,-3.189031832,-53.46023577,10720
0.434422136,-1.711754494,113.8760494,10760
0.465841615,3.081447866,84.99528936,10800
0.615557439,3.358600956,-66.60542825,10840
0.67795823,-0.419453095,-94.40332803,10880
0.602947529,-2.849571568,-24.67859306,10920
0.482819321,-2.907388551,13.16250906,10960
0.379802706,-2.18994101,21.67622899,11000
0.311520294,-1.180797014,27.71592569,11040
0.285326166,-0.192589622,18.0876471,11080
0.286005273,0.06623357,-5.395208022,11120
0.280198983,-0.416194835,-14.10606124,11160
0.255129966,-0.744140886,-0.809339261,11200
0.227363224,-0.609946356,4.332139299,11240
