ENV,ENV_VEL,ENV_ACC,time_ms
7.75E-05,0.000776248,-0.013572276,40
9.20E-05,7.91E-05,-0.013047092,80
9.11E-05,-0.000130773,-0.001005275,120
8.40E-05,-0.000144882,0.00081931,160
8.02E-05,-0.000104271,-0.00016447,200
7.45E-05,-0.000135076,7.63E-05,240
7.05E-05,-0.000103342,0.00021578,280
6.54E-05,-0.000122496,-8.13E-05,320
6.14E-05,-0.000101587,0.000215287,360
5.66E-05,-0.000113251,-2.46E-05,400
5.29E-05,-9.76E-05,0.000126147,440
4.84E-05,-0.000106793,3.72E-05,480
4.48E-05,-9.26E-05,8.33E-05,520
4.05E-05,-0.000101479,3.61E-05,560
3.71E-05,-8.81E-05,9.68E-05,600
3.31E-05,-9.62E-05,4.04E-06,640
2.97E-05,-8.45E-05,0.000112924,680
2.60E-05,-9.09E-05,-5.09E-06,720
2.28E-05,-8.13E-05,9.48E-05,760
1.92E-05,-8.63E-05,1.90E-05,800
1.61E-05,-7.78E-05,5.70E-05,840
1.27E-05,-8.25E-05,4.80E-05,880
9.80E-06,-7.42E-05,2.16E-05,920
6.50E-06,-7.98E-05,9.85E-05,960
3.87E-06,-5.69E-05,0.000810895,1000
2.12E-06,-1.71E-05,0.001384271,1040
2.85E-06,4.28E-05,0.0011463,1080
4.95E-06,6.47E-05,0.000234937,1120
7.87E-06,7.14E-05,-4.00E-05,1160
1.04E-05,6.47E-05,-4.44E-05,1200
1.32E-05,6.82E-05,-2.47E-05,1240
1.57E-05,6.23E-05,-3.25E-05,1280
1.84E-05,6.59E-05,-2.37E-05,1320
2.08E-05,5.98E-05,-4.34E-05,1360
2.34E-05,6.37E-05,8.94E-07,1400
2.57E-05,5.79E-05,-6.39E-05,1440
2.82E-05,6.11E-05,1.51E-05,1480
3.04E-05,5.64E-05,-5.83E-05,1520
3.29E-05,5.87E-05,-2.70E-06,1560
3.50E-05,5.48E-05,-2.84E-05,1600
3.74E-05,5.70E-05,-2.76E-05,1640
3.94E-05,5.27E-05,-1.24E-05,1680
4.17E-05,5.57E-05,-2.28E-05,1720
4.37E-05,5.08E-05,-3.10E-05,1760
4.59E-05,5.41E-05,7.60E-06,1800
4.79E-05,4.95E-05,-5.63E-05,1840
5.00E-05,5.21E-05,2.23E-05,1880
5.20E-05,4.87E-05,-4.95E-05,1920
5.40E-05,5.03E-05,4.05E-07,1960
5.59E-05,4.75E-05,-1.61E-05,2000
5.79E-05,4.92E-05,-2.76E-05,2040
5.97E-05,4.58E-05,-3.98E-07,2080
6.17E-05,4.85E-05,-2.08E-05,2120
6.35E-05,4.44E-05,-2.36E-05,2160
6.54E-05,4.74E-05,1.38E-05,2200
6.71E-05,4.36E-05,-5.24E-05,2240
6.90E-05,4.58E-05,2.87E-05,2280
7.07E-05,4.32E-05,-4.37E-05,2320
7.25E-05,4.44E-05,2.26E-06,2360
7.42E-05,4.24E-05,-6.10E-06,2400
7.60E-05,4.37E-05,-2.90E-05,2440
7.76E-05,4.10E-05,9.51E-06,2480
7.94E-05,4.35E-05,-1.95E-05,2520
8.10E-05,3.98E-05,-1.89E-05,2560
8.27E-05,4.27E-05,2.00E-05,2600
8.43E-05,3.95E-05,-5.14E-05,2640
8.59E-05,4.13E-05,3.50E-05,2680
8.75E-05,3.94E-05,-3.98E-05,2720
8.92E-05,4.02E-05,3.04E-06,2760
9.07E-05,3.89E-05,3.16E-06,2800
9.23E-05,4.00E-05,-3.18E-05,2840
9.38E-05,3.77E-05,1.85E-05,2880
9.54E-05,4.01E-05,-1.87E-05,2920
9.69E-05,3.68E-05,-1.63E-05,2960
9.85E-05,3.96E-05,2.69E-05,3000
1.00E-04,3.67E-05,-5.27E-05,3040
0.000101504,3.84E-05,4.16E-05,3080
0.000102963,3.71E-05,-3.69E-05,3120
0.00010451,3.75E-05,2.68E-06,3160
0.000105932,3.67E-05,1.27E-05,3200
0.000107486,3.76E-05,-3.63E-05,3240
0.000108881,3.56E-05,2.74E-05,3280
0.00011042,3.81E-05,-1.81E-05,3320
0.000111821,3.49E-05,-1.54E-05,3360
0.000113323,3.77E-05,3.52E-05,3400
0.000114739,3.52E-05,-5.62E-05,3440
0.000116216,3.66E-05,4.89E-05,3480
0.000117623,3.59E-05,-3.44E-05,3520
0.000119109,3.60E-05,9.68E-07,3560
0.000120484,3.56E-05,2.36E-05,3600
0.000121989,3.64E-05,-4.25E-05,3640
0.000123345,3.46E-05,3.67E-05,3680
0.000124842,3.72E-05,-1.71E-05,3720
0.000126216,3.41E-05,-1.65E-05,3760
0.00012768,3.70E-05,4.57E-05,3800
0.000129082,3.48E-05,-6.21E-05,3840
0.000130528,3.60E-05,5.73E-05,3880
0.000131927,3.58E-05,-3.18E-05,3920
0.000133397,3.55E-05,-2.58E-06,3960
0.000134766,3.57E-05,3.69E-05,4000
0.000136267,3.64E-05,-5.10E-05,4040
0.000137625,3.46E-05,4.70E-05,4080
0.000139124,3.75E-05,-1.52E-05,4120
0.000140515,3.43E-05,-2.01E-05,4160
0.000141983,3.74E-05,5.96E-05,4200
0.000143415,3.54E-05,-7.08E-05,4240
0.000144875,3.64E-05,6.70E-05,4280
0.000146308,3.68E-05,-2.79E-05,4320
0.000147808,3.61E-05,-8.85E-06,4360
0.000149212,3.68E-05,5.42E-05,4400
0.000150758,3.75E-05,-6.23E-05,4440
0.000152162,3.57E-05,5.86E-05,4480
0.00015371,3.90E-05,-1.14E-05,4520
0.000155164,3.56E-05,-2.72E-05,4560
0.000156682,3.90E-05,7.87E-05,4600
0.000158192,3.73E-05,-8.30E-05,4640
0.000159713,3.79E-05,7.86E-05,4680
0.000161228,3.91E-05,-2.17E-05,4720
0.00016281,3.80E-05,-1.93E-05,4760
0.000164297,3.91E-05,7.78E-05,4800
0.000165942,4.00E-05,-7.75E-05,4840
0.00016744,3.80E-05,7.20E-05,4880
0.000169091,4.20E-05,-3.90E-06,4920
0.000170664,3.83E-05,-4.00E-05,4960
0.000172285,4.20E-05,0.00010606,5000
0.000173933,4.07E-05,-9.99E-05,5040
0.000175572,4.08E-05,9.23E-05,5080
0.000177227,4.31E-05,-1.06E-05,5120
0.000178955,4.13E-05,-3.68E-05,5160
0.000180583,4.30E-05,0.000111631,5200
0.000182395,4.42E-05,-9.82E-05,5240
0.000184051,4.18E-05,8.76E-05,5280
0.000185872,4.69E-05,1.03E-05,5320
0.000187637,4.26E-05,-6.19E-05,5360
0.000189427,4.68E-05,0.000146404,5400
0.000191291,4.61E-05,-0.000123501,5440
0.000193122,4.54E-05,0.000108325,5480
0.000194994,4.92E-05,9.70E-06,5520
0.000196956,4.66E-05,-6.64E-05,5560
0.000198799,4.90E-05,0.00016202,5600
0.000200873,5.09E-05,-0.000126809,5640
0.000202774,4.76E-05,0.000105295,5680
0.000204855,5.43E-05,3.75E-05,5720
0.000206915,4.93E-05,-0.000100086,5760
0.000208967,5.40E-05,0.000208438,5800
0.000211158,5.45E-05,-0.000156744,5840
0.000213286,5.24E-05,0.000126124,5880
0.000215484,5.85E-05,4.80E-05,5920
0.000217805,5.47E-05,-0.000117753,5960
0.000219973,5.79E-05,0.000240858,6000
0.000222447,6.11E-05,-0.000167094,6040
0.00022472,5.62E-05,0.000123733,6080
0.000227194,6.57E-05,9.04E-05,6120
0.000229707,5.95E-05,-0.000168501,6160
0.000232151,6.48E-05,0.000308591,6200
0.000234842,6.74E-05,-0.00020453,6240
0.000237427,6.30E-05,0.000142939,6280
0.000240113,7.27E-05,0.000123198,6320
0.000242995,6.74E-05,-0.000211514,6360
0.000245652,7.13E-05,0.000371461,6400
0.000248742,7.73E-05,-0.000225408,6440
0.00025159,6.93E-05,0.000137748,6480
0.000254664,8.34E-05,0.000197221,6520
0.000257888,7.54E-05,-0.000297699,6560
0.000260934,8.13E-05,0.000480675,6600
0.000264404,8.80E-05,-0.000275054,6640
0.00026771,7.91E-05,0.000149251,6680
0.000271147,9.52E-05,0.00027901,6720
0.000274931,8.76E-05,-0.000394391,6760
0.000278345,9.19E-05,0.00060423,6800
0.000282423,0.000103764,-0.000312526,6840
0.000286196,8.95E-05,0.000130014,6880
0.000290211,0.000112227,0.000427692,6920
0.000294608,0.000101527,-0.000561427,6960
0.000298606,0.000107239,0.000802152,7000
0.000303357,0.000122819,-0.000382579,7040
0.000307858,0.000104536,0.000113213,7080
0.000312501,0.000132842,0.000629851,7120
0.000317832,0.000121787,-0.000787014,7160
0.000322468,0.000125126,0.001062695,7200
0.000328231,0.000150519,-0.000447503,7240
0.000333589,0.000122144,4.08E-05,7280
0.000339163,0.000162452,0.000977419,7320
0.000345659,0.000147482,-0.001165695,7360
0.000351243,0.000150219,0.001478855,7400
0.000358274,0.000187517,-0.000552597,7440
0.00036492,0.000146854,-8.13E-05,7480
0.000371625,0.000201846,0.001527253,7520
0.000379885,0.000185216,-0.001760449,7560
0.000386624,0.000181825,0.002108944,7600
0.00039556,0.000243268,-0.000664033,7640
0.000403921,0.000177848,-0.000367263,7680
0.000412275,0.000260545,0.002518339,7720
0.000423033,0.00023841,-0.002825156,7760
0.000431451,0.000226128,0.003192741,7800
0.000443086,0.000327242,-0.000826983,7840
0.000454102,0.000220692,-0.000954496,7880
0.000464646,0.000348107,0.004363506,7920
0.000479447,0.000321827,-0.004816994,7960
0.000490072,0.000284658,0.005147431,8000
0.000506051,0.000468251,-0.001001062,8040
0.000521121,0.000274716,-0.002355072,8080
0.000534886,0.000493129,0.008271441,8120
0.000556489,0.000457836,-0.009100792,8160
0.000570214,0.00036299,0.009214242,8200
0.000593502,0.0007276,-0.001167716,8240
0.000615592,0.000335532,-0.006061479,8280
0.000633762,0.000756045,0.017896533,8320
0.000668806,0.000711018,-0.020036315,8360
0.000685979,0.000438725,0.019315198,8400
0.000723788,0.001308597,-0.000833479,8440
0.000759315,0.000323203,-0.018770042,8480
0.000782257,0.001339941,0.049282985,8520
0.000850708,0.001280691,-0.058367894,8560
0.000865395,0.000272351,0.054223885,8600
0.000941059,0.003189587,0.00515814,8640
0.001009168,-0.000565428,-0.091214441,8680
0.001015714,0.003339958,0.231426242,8720
0.001232203,0.003413707,-0.32299287,8760
0.001121695,-0.004634523,0.299166935,8800
0.001441691,0.021051572,0.247883871,8840
0.001610156,-0.032092009,-2.256909514,8880
0.000377325,0.055655176,10.48404546,8920
0.017421743,0.943558613,31.40931382,8960
0.079157538,2.030697328,14.67043204,9000
0.160793899,1.774692449,-25.33404462,9040
0.208203839,0.608795635,-23.53973009,9080
0.222465714,0.330568446,9.146143635,9120
0.246964976,0.923000637,13.53762554,9160
0.289615423,1.071349554,-6.350072906,9200
0.324514522,0.640309074,-11.46424723,9240
0.342544115,0.297143201,-6.531249745,9280
0.348350895,-0.046354086,-12.01820543,9320
0.335938483,-0.56554859,-10.38237008,9360
0.309599231,-0.623142245,8.069585459,9400
0.293439768,-0.182958216,8.166704875,9440
0.28687533,-0.300554515,-14.04188921,9480
0.261713266,-0.935843387,-10.73602891,9520
0.223056216,-0.805986724,16.75955308,9560
0.207083656,0.012280585,17.60828993,9600
0.216386538,0.322858932,-0.954923605,9640
0.227813415,0.281388396,3.629094248,9680
0.246334537,0.738020104,16.87180698,9720
0.28818231,1.280411079,6.126019816,9760
0.338870076,1.132961336,-11.44517382,9800
0.37416151,0.641260079,-10.40344913,9840
0.392716928,0.294039631,-9.542209795,9880
0.394134422,-0.293882583,-19.32868979,9920
0.367678893,-0.96283049,-9.662893668,9960
0.326704265,-0.976676344,6.100073723,10000
0.292902385,-0.704746984,8.649422705,10040
0.278160924,0.207352621,43.6299747,10080
0.331498271,2.595118141,61.53494645,10120
0.467624688,3.633175524,-22.510024,10160
0.571173984,1.123513008,-83.20011906,10200
0.559824484,-1.274885498,-23.54135269,10240
0.509282814,-0.87583266,31.96000166,10280
0.501068985,0.434188965,28.54100334,10320
0.538175924,1.344838853,16.56431052,10360
0.599501243,1.541477818,-10.15990142,10400
0.644285798,0.5061661,-38.17618702,10440
0.631940181,-1.132749711,-39.7451884,10480
0.558430128,-2.419839108,-20.89112888,10520
0.455231667,-2.444058,22.71327834,10560
0.385954859,-0.848404783,47.07284245,10600
0.381920371,0.353698499,4.587578742,10640
0.3860269,-0.410985744,-33.56310074,10680
0.345326028,-1.47887696,-13.05801752,10720
0.28361072,-1.450881404,9.944307118,10760
0.234542466,-0.993846538,11.88992773,10800
0.20552302,-0.412344399,18.21505954,10840
0.204649227,0.36649734,17.63907037,10880
0.229884522,0.798256726,3.670945597,10920
0.263186477,0.872933662,4.792005309,10960
0.307705629,1.523667849,29.51741219,11000
0.396711549,2.9566728,32.76266537,11040
0.527843408,3.145503433,-34.21143604,11080
0.603609333,0.176382672,-100.9895239,11120
0.537170264,-3.055712723,-35.59871219,11160
0.423046834,-1.778368029,90.83650495,11200
0.433892989,2.251505097,80.89501356,11240
0.559333803,3.244882069,-31.7949062,11280
0.645274744,0.781001941,-72.50515265,11320
0.625862141,-1.508856963,-37.61346251,11360
0.544808198,-2.344163835,-7.456775094,11400
0.450243458,-2.264660228,10.4737026,11440
0.371208624,-1.62935897,19.01634068,11480
0.321246969,-0.87184052,18.85323526,11520
0.302325795,-0.044551778,22.85075611,11560
0.318291969,0.790808745,14.72119602,11600
0.35468005,0.832717355,-13.92173615,11640
0.370872178,-0.122261208,-28.34006978,11680
0.346366185,-0.983949969,-11.04759443,11720
0.304231701,-0.997198255,7.316447431,11760
0.270525758,-0.71262061,4.074260259,11800
0.243148363,-0.694321691,-1.407266518,11840
0.21497757,-0.687273973,2.324640998,11880
0.190143679,-0.538430461,4.916369504,11920
0.17390928,-0.225533676,11.90875639,11960
0.176318527,0.370225264,15.13732285,12000
0.200636764,0.771807328,4.862333587,12040
0.235829791,1.052482489,14.25807197,12080
0.294550054,1.968411963,25.51432291,12120
0.385912825,2.313395891,-16.17820909,12160
0.452305648,0.766224317,-50.46573497,12200
0.449463309,-0.61780685,-8.347753262,12240
0.433799328,0.158115341,38.62203711,12280
0.469795348,1.492632346,17.0244414,12320
0.529040121,1.123578313,-33.51750116,12360
0.54039864,-0.636259035,-45.49598339,12400
0.484523871,-1.970668873,-18.21980953,12440
0.399047614,-2.124325253,8.589413719,12480
0.326152153,-1.398973434,26.6885869,12520
0.294097813,-0.18062006,29.60073161,12560
0.304958752,0.540872352,2.853154424,12600
0.321135953,0.119519914,-18.70807226,12640
0.312870344,-0.423173172,-2.690570866,12680
0.302449453,0.118507656,29.00159071,12720
0.334981781,1.556931615,35.76696534,12760
0.418630215,2.388248689,1.131881097,12800
0.505450698,1.779392059,-23.94637009,12840
0.560836333,1.124677454,-5.279605698,12880
0.603684494,0.964328529,-13.81239484,12920
0.617304672,-0.653107353,-66.67825343,12960
0.534271545,-3.393954445,-50.05037662,13000
0.385382371,-3.283737473,61.79719036,13040
0.326867226,0.724346652,114.4872501,13080
0.429925466,3.779835764,19.75835148,13120
0.563449963,2.17927389,-84.95272309,13160
0.5792589,-1.258924647,-66.71245279,13200
0.495944058,-2.398173532,7.593928663,13240
0.417207342,-1.370056399,33.15694927,13280
0.38595711,-0.294629066,18.69678297,13320
0.38595523,0.243090064,10.84401975,13360
0.404289467,0.667311387,9.472885429,13400
0.436205848,0.853117821,-1.549839817,13440
0.466025248,0.578560098,-10.26264872,13480
0.480820062,0.16371826,-10.22288509,13520
0.478219168,-0.33625,-16.44719082,13560
0.449034316,-1.174968513,-23.73849178,13600
0.384575734,-1.972437556,-12.47059591,13640
0.301849305,-2.008537567,10.29842497,13680
0.233610198,-1.336090495,20.52497715,13720
0.197551433,-0.42781396,26.770508,13760
0.206451323,1.000089661,44.90020583,13800
0.283516791,2.803025743,36.77974122,13840
0.413181936,3.341988481,-12.58560487,13880
0.526397854,2.150480028,-37.09528731,13920
0.588262097,1.146391232,-7.859720414,13960
0.635493406,1.323485464,7.352879432,14000
0.685676044,0.8900914,-35.26760357,14040
0.682691556,-1.177260723,-54.31442077,14080
0.605414987,-2.249341357,8.843215919,14120
0.537479409,-0.927967622,40.39764592,14160
0.521308317,-0.245452154,-11.43892365,14200
0.493726314,-1.197637859,-20.75655907,14240
0.441391048,-1.094577207,25.52712734,14280
0.422177887,0.114493715,22.84550437,14320
0.433541952,0.146890891,-21.77097178,14360
0.414533077,-1.195304877,-35.77404154,14400
0.346971107,-1.864494881,11.16850259,14440
0.298954227,-0.145315406,67.773328,14480
0.347873516,2.443232128,45.85134112,14520
0.46240325,2.763301411,-30.22065716,14560
0.534774584,0.616606756,-65.54334314,14600
0.511047355,-1.618176315,-38.49367638,14640
0.427866666,-2.248276863,4.480863278,14680
0.34732017,-1.687086781,18.95055267,14720
0.297474887,-0.696579779,35.60550521,14760
0.306818578,1.342817762,59.87321665,14800
0.398574595,2.804155378,-5.271226714,14840
0.477469081,0.513477349,-95.16992262,14880
0.425898459,-2.723239109,-42.01733856,14920
0.312178969,-2.343494741,47.6100397,14960
0.257895954,-0.498365472,31.1177603,15000
0.254903949,0.265549721,19.54782678,15040
0.291529201,1.849774699,59.38057801,15080
0.413849764,4.124942586,37.9861008,15120
0.587346842,3.952201753,-49.58392689,15160
0.686926353,0.677941743,-100.6873376,15200
0.637884934,-2.879971754,-63.74979795,15240
0.492540202,-3.859323174,13.81031751,15280
0.36239715,-2.441418049,44.30146598,15320
0.294032557,-1.19767014,12.75486956,15360
0.249179721,-1.123278272,1.92508937,15400
0.216361851,-0.191057848,48.62396557,15440
0.254859952,2.137707169,50.66880922,15480
0.36168734,2.641520985,-30.7817909,15520
0.426442107,0.354489089,-66.19689613,15560
0.397214264,-1.498022459,-20.38822281,15600
0.3337971,-1.395991163,21.33403388,15640
0.302925228,0.045106394,49.92251554,15680
0.348711508,2.267843805,52.46691998,15720
0.470581349,3.48604534,2.7542263,15760
0.597834792,2.56659213,-43.34635526,15800
0.659413937,0.372743717,-64.55872452,15840
0.619188292,-2.424877143,-69.21013762,15880
0.47757664,-4.251339561,-8.846524136,15920
0.326940694,-2.647221322,83.19438,15960
0.295058653,1.014558062,77.2819565,16000
0.374471386,2.339739757,-11.97649685,16040
0.445129659,1.039858156,-35.21601433,16080
0.467447924,0.291680493,-5.438252084,16120
0.471889803,-0.247541057,-30.2846775,16160
0.430402095,-1.888598188,-38.10744721,16200
0.338708793,-2.274531185,22.50956019,16240
0.276437154,-0.703001457,42.85522302,16280
0.276138486,0.515950407,18.62554955,16320
0.310308061,1.216324731,21.34681898,16360
0.378590065,2.224477201,24.68291895,16400
0.481957895,2.762662167,-2.17015615,16440
0.580213214,1.888228199,-40.6720751,16480
0.617333007,-0.098895148,-49.83873298,16520
0.582758342,-1.318397011,-4.164939479,16560
0.541110381,-0.472331242,38.15463987,16600
0.550806298,0.798974763,15.40699066,16640
0.583180047,0.564783026,-21.38371733,16680
0.589132401,-0.169763006,-7.830040794,16720
0.58275346,-0.037010271,8.092012418,16760
0.583874297,-0.0294284,-8.569688489,16800
0.57685893,-0.196477357,9.738671085,16840
0.587377313,0.918446721,36.64857555,16880
0.642972843,1.440152228,-24.69618929,16920
0.658732816,-1.085460245,-86.89319462,16960
0.552663731,-3.858025328,-34.70517304,17000
0.394255907,-3.536086782,42.1337793,17040
0.291489963,-1.618598974,40.49814624,17080
0.248423939,-0.802451049,1.736239462,17120
0.21387593,-0.928479583,1.159430544,17160
0.186300739,-0.216036738,34.77626669,17200
0.209245297,1.362014997,34.34154059,17240
0.281522203,1.992185877,-3.100150637,17280
0.353639139,1.563190945,-11.05995242,17320
0.410080887,1.300469165,-5.891089891,17360
0.452166443,0.631927078,-30.39446301,17400
0.448682166,-0.838909291,-34.78146671,17440
0.395342212,-1.591780711,-0.399328778,17480
0.339732228,-1.01219438,26.17928343,17520
0.324648054,0.363560313,41.78074976,17560
0.373816871,2.059331227,35.39448332,17600
0.471421481,2.40097117,-26.57876485,17640
0.52635338,-0.071505225,-86.81858047,17680
0.456935282,-3.130327769,-46.99841837,17720
0.320250475,-3.067386712,45.25037824,17760
0.241793466,-0.863445598,44.88410134,17800
0.228608281,-0.099970442,2.509882786,17840
0.234092874,0.705421316,48.72280286,17880
0.309121378,2.976193644,35.85171195,17920
0.42022554,1.561724538,-110.2964329,17960
0.376213652,-3.801983033,-115.1585051,18000
0.172925139,-5.24731263,45.73869582,18040
0.023723885,-1.939727153,86.99861172,18080
-0.002707724,0.108793637,14.10904168,18120
0.002403015,0.013656456,-6.818349418,18160
0.000561468,-0.036233052,2.769961905,18200
0.000833366,0.023297498,-0.66639231,18240
0.000892238,-0.016007183,-0.20468449,18280
0.000563867,0.004342959,0.496270889,18320
0.000774094,-0.000668411,-0.440893871,18360
0.000576715,-0.003791706,0.281035114,18400
0.000616855,0.002917322,-0.094232552,18440
0.000599993,-0.003232442,-0.034044455,18480
0.000533102,0.000874915,0.104611949,18520
0.000573196,-0.000445828,-0.108662849,18560
0.000513481,-0.001131101,0.07915098,18600
0.000523005,0.000775647,-0.030041583,18640
0.000511348,-0.001195981,-0.010495663,18680
0.000485816,0.00026701,0.037435408,18720
0.000497668,-0.000263781,-0.041887239,18760
0.000471144,-0.000502331,0.032694965,18800
0.000473724,0.000281702,-0.013332048,18840
0.00046621,-0.000583884,-0.004290349,18880
0.000453394,0.000100797,0.017353328,18920
0.000457645,-0.000168628,-0.02037008,18960
0.000443312,-0.000270258,0.016703616,19000
0.000443969,0.000122339,-0.007244072,19040
0.00043894,-0.000332307,-0.00194259,19080
0.000431554,4.63E-05,0.009337179,19120
0.000433303,-0.000114164,-0.011437628,19160
0.000424618,-0.000160123,0.009822769,19200
0.000424836,6.20E-05,-0.004565156,19240
0.000421336,-0.000207517,-0.000827803,19280
0.000416841,2.91E-05,0.005515477,19320
0.000417688,-8.06E-05,-0.007102146,19360
0.000412104,-9.75E-05,0.006432719,19400
0.00041235,3.71E-05,-0.003267935,19440
0.000409901,-0.000136203,-0.000174588,19480
0.000407153,2.58E-05,0.003428228,19520
0.000407747,-5.76E-05,-0.004737642,19560
0.000404037,-5.75E-05,0.004589746,19600
0.000404532,2.77E-05,-0.002599649,19640
0.00040281,-9.16E-05,0.000262959,19680
0.000401288,2.93E-05,0.002178088,19720
0.000401863,-4.15E-05,-0.003352048,19760
0.000399437,-2.84E-05,0.003546092,19800
0.000400237,2.50E-05,-0.002284934,19840
0.000399089,-6.08E-05,0.000625591,19880
0.000398474,3.57E-05,0.00133907,19920
0.000399184,-2.91E-05,-0.002470632,19960
0.000397665,-5.77E-06,0.002931353,20000
0.000398851,2.63E-05,-0.002167969,20040
0.000398131,-3.84E-05,0.000952318,20080
0.000398297,4.47E-05,0.000735572,20120
0.000399178,-2.00E-05,-0.001894419,20160
0.000398396,1.43E-05,0.002599828,20200
0.000399982,2.92E-05,-0.00221268,20240
0.000399639,-2.03E-05,0.0013075,20280
0.000400489,5.52E-05,0.000234233,20320
0.000401611,-1.24E-05,-0.001481627,20360
0.000401422,3.29E-05,0.00244396,20400
0.00040349,3.39E-05,-0.002375182,20440
0.00040344,-5.39E-06,0.001704276,20480
0.000404991,6.82E-05,-0.000213076,20520
0.00040636,-6.86E-06,-0.001186036,20560
0.000406731,5.25E-05,0.002446621,20600
0.000409327,3.91E-05,-0.002682083,20640
0.000409555,8.55E-06,0.002205751,20680
0.000411823,8.37E-05,-0.000685002,20720
0.000413499,-2.38E-06,-0.000940336,20760
0.000414387,7.37E-05,0.002573031,20800
0.000417642,4.57E-05,-0.003136474,20840
0.000418087,2.18E-05,0.002843134,20880
0.0004212,0.000103263,-0.001215147,20920
0.000423193,1.01E-07,-0.000733398,20960
0.000424645,9.94E-05,0.00285611,21000
0.000428684,5.27E-05,-0.003813565,21040
0.000429336,3.60E-05,0.003719629,21080
0.000433445,0.000127884,-0.001897535,21120
0.000435829,9.13E-07,-0.000510041,21160
0.000437882,0.000131226,0.003308081,21200
0.000442953,6.10E-05,-0.004784292,21240
0.000443742,5.18E-05,0.004943027,21280
0.000449161,0.00016095,-0.002817471,21320
0.000451965,-1.75E-06,-0.000250775,21360
0.000454769,0.000174259,0.004021224,21400
0.000461186,6.96E-05,-0.006235544,21440
0.000462065,7.15E-05,0.006760356,21480
0.000469241,0.000206139,-0.004180138,21520
0.000472558,-9.20E-06,0.000134995,21560
0.000476299,0.000234858,0.005103988,21600
0.000484628,7.89E-05,-0.008445507,21640
0.000485439,9.71E-05,0.009563762,21680
0.000495197,0.000272175,-0.006303371,21720
0.000499073,-2.65E-05,0.000755605,21760
0.000504153,0.000327215,0.006830069,21800
0.000515277,8.68E-05,-0.012021535,21840
0.000515779,0.000134708,0.014202528,21880
0.000529533,0.000373793,-0.009900567,21920
0.000534051,-6.21E-05,0.001913366,21960
0.000541147,0.000478389,0.009700868,22000
0.000556751,9.02E-05,-0.018187975,22040
0.000556343,0.000194887,0.022475853,22080
0.000576959,0.000545395,-0.016500312,22120
0.000582066,-0.000138508,0.004248128,22160
0.00059267,0.000754117,0.014984586,22200
0.000616133,7.81E-05,-0.029970881,22240
