"Begin Time - msec","End Time - msec","RS_Detail",
131172,131354,"Ad-femSg"
131354,131849,"AttL-number"
131849,132236,"V-static"
132690,133141,"Ad-neuSg"
136875,136948,"T-jetzt"
137031,137159,"P-egozentrisch"
137159,137298,"Ad-femSg"
137298,137709,"AttL-number"
137709,138406,"V-other"
139006,139206,"V-other"
144463,144864,"O-Kommentar"
144864,144981,"Pos-da"
144981,145034,"V-static"
145034,145186,"Aid-maskSg"
145186,145831,"L-lm2_rathaus"
145831,146060,"V-static"
146060,146227,"Ad-neuSg"
146227,146777,"L-lm2_rathaus"
147100,147779,"T-danach"
148825,148936,"P-egozentrisch"
148936,149183,"V-other"
151163,151292,"Pos-da"
151292,151559,"V-static"
151559,151702,"T-dann"
151702,152197,"Ad-neuSg"
154532,154811,"O-Bestaetigung"
154811,155027,"Ad-neuSg"
155027,155165,"V-static"
156964,157210,"Dir-links"
157447,157872,"Dir-rechts"
158499,158722,"T-dann"
160518,160758,"O-Bestaetigung"
160758,161203,"Ad-neuSg"
161203,161842,"L-lm2_rathaus"
161842,162217,"V-static"
163075,163242,"Ad-neuSg"
163242,163995,"L-lm2_rathaus"
164672,165006,"T-davor"
165006,165231,"Ad-neuSg"
165231,165557,"V-static"
165557,165633,"Ad-neuSg"
165633,166052,"V-perception"
166052,166125,"P-DuPerspektive"
166125,166553,""
166931,167112,"Aid-femSg"
167112,167484,"AttL-size"
167484,167813,"L-baumallee-LBkl-pl"
167813,168047,"Prep-von"
168047,168545,"L-baumallee-baum-LBkl-pl"
168545,168654,"Pos-da"
168654,169292,"V-static"
169527,169617,"Pos-da"
169617,169732,"V-static"
170133,170215,"Pos-auf"
170215,170356,"Ad-femSg"
170356,170725,"Pos-links"
170725,171079,"Pos-Seite"
171079,171164,"T-dann"
171164,171844,"AttL-number"
171844,172111,"L-baumallee-baum-LBkl-pl"
172111,172213,"Ad-neuSg"
172213,172301,"V-static"
172412,172529,"T-dann"
172702,173001,"AttL-shape"
173001,173321,"L-baumallee-baum-LBkl-pl"
173321,173435,"O-Negation"
173435,173731,"Aid-femSg"
173860,174255,"L-objekt-sg_unbestimmbar"
174955,175412,"Pos-rechts"
175603,175670,"Ad-femPl"
175670,175919,"V-static"
176757,178310,"AttL-others "
178752,179291,"AttL-others"
179517,179575,"P-DuPerspektive"
179575,179769,"V-motion"
179948,180438,"O-Versprecher"
180438,180689,"Dir-durch"
180689,181008,"Pos-zwischen"
181008,181395,"Ad-femPl"
182514,182751,"AttL-number"
182751,183106,"L-baumallee-baum-LBkl-pl"
185074,185364,"T-wenn"
185364,185479,"P-DuPerspektive"
185479,185652,"Pos-da"
185652,185980,"Dir-durch"
185980,186331,"V-motion"
187087,187357,"V-perception"
187357,187430,"P-DuPerspektive"
187989,188526,"Ad-neuSg"
189053,189454,"O-Wiederholung"
189454,190146,"L-lm2_rathaus"
191514,191596,"Ad-neuSg"
191596,191716,"V-static"
192038,192255,"Pos-vor"
192255,192434,"P-DuPerspektive"
192434,192662,"T-dann"
193190,193471,"Pos-vor"
193471,193717,"P-DuPerspektive"
196553,196966,"Pos-da"
196966,197095,"Ad-neuSg"
197095,197470,"L-lm2_rathaus"
197470,197798,"V-perception"
197798,197833,"P-DuPerspektive"
198120,198481,""
198779,199193,"O-Kommentar"
199193,199360,"Ad-neuSg"
199623,200086,"L-lm2_treppe-pl"
200086,200394,"V-static"
200581,200742,"V-perception"
200742,200983,"AttL-hedging"
201223,201311,"Ad-femPl"
201311,202078,"L-objekt-sg_unbestimmbar"
202078,202304,"Pos-hier"
202494,202761,"O-Versprecher"
203101,203297,"Pos-in"
203297,203391,"Ad-femSg"
203391,203719,"L-objekt-sg_unbestimmbar"
204888,205005,"Ad-neuSg"
205005,205081,"V-static"
205421,206001,"O-Kommentar"
206950,207343,"O-Bestaetigung"
207618,207973,"Aid-femSg"
207973,208301,"AttL-others"
208301,208808,"L-objekt-sg_unbestimmbar"
209655,209716,"P-egozentrisch"
209716,209953,"V-other"
209953,210205,"O-Negation"
210205,210413,"L-objekt-sg_unbestimmbar"
211882,212187,"AttL-number"
212187,212505,"L-lm2_treppe-pl"
212665,212987,"AttL-number"
212987,213310,"L-lm2_treppe-pl"
213310,213437,"Pos-vor"
213437,213570,"Ad-neuSg"
213570,214125,"L-lm2_rathaus"
215267,215402,"V-static"
215547,215682,"Ad-femPl"
215682,215914,"L-objekt-sg_unbestimmbar"
215914,216117,"V-static"
216980,217409,"V-perception"
217933,218198,"T-dann"
220580,220980,"AttL-quantity"
220980,221202,"AttL-others"
221202,221330,"Ad-neuSg"
221330,221400,"V-perception"
221647,221832,"AttL-quantity"
221832,222345,"AttL-others"
222804,223909,"AttL-others"
224798,224918,"P-DuPerspektive"
224918,225278,"V-perception"
225558,225916,"Ad-femPl"
225916,226276,"L-baumallee-baum-LBkl-pl"
226276,226813,"O-Kommentar"
226898,227195,"Ad-femSg"
227195,227915,"AttL-shape"
227915,227986,"AttL-others"
227986,228164,"Aid-femSg"
228164,228581,"L-baumallee-LBkl-pl"
228581,228918,"V-perception"
228918,229036,"P-DuPerspektive"
229216,229598,"Pos-da"
229924,230486,"T-dann"
232042,232350,"O-Bestaetigung"
232350,232717,"Pos-da"
232935,233017,"P-DuPerspektive"
233175,233522,"Dir-links"
233522,234082,"V-motion"
235690,236165,"O-Bestaetigung"
241933,242441,"O-Kommentar"
242441,242581,"T-wenn"
242581,242633,"P-DuPerspektive"
242633,242818,"T-dann"
242818,243211,"Dist-weiter"
243211,243771,"V-motion"
245864,245962,"P-DuPerspektive"
246137,246282,"T-dann"
246282,246752,"AttL-number"
246752,247072,"Dir-links"
247707,248061,"V-motion"
248124,248524,"O-Kommentar"
248524,248619,"Pos-wo"
248619,248886,"Ad-neuSg"
248886,249164,"AttL-number"
249164,249371,"L-strKr_unbestimmbar"
249371,249651,"V-static"
251502,251682,"P-egozentrisch"
251682,251770,"V-other"
251770,251815,"Ad-neuSg"
251815,251927,"P-egozentrisch"
251927,252057,"T-jetzt"
252312,252567,"T-amAnfang"
252567,252969,"Dir-links"
252969,253154,"T-dann"
253154,253689,"Dir-rechts"
253689,253789,"T-wenn"
253789,253857,"Ad-neuSg"
253857,254247,"Pos-Ende"
254427,254729,"T-amAnfang"
254729,254866,"Dir-links"
254866,255014,"T-wenn"
255014,255092,"Ad-neuSg"
255092,255410,"Pos-Ende"
255410,255490,"T-dann"
255490,255735,"Dir-rechts"
255735,255853,"T-wenn"
255853,255917,"Ad-neuSg"
255917,256450,"Pos-Ende"
256450,256735,"T-dann"
256735,257157,"Dir-links"
258107,258492,"Dir-links"
264312,264445,"Ad-neuSg"
264445,264550,"V-static"
265992,266049,"P-egozentrisch"
266174,266274,"O-Versprecher"
266407,266467,"Ad-femPl"
266467,266839,"L-str_unbestimmbar"
266839,267007,"O-Negation"
267007,267682,"V-other"
270528,270683,"O-Frage"
270683,270810,"V-static"
