ppn,time_ms_rec,v_vid
V10_c,40,0
V10_c,80,6702
V10_c,120,308756
V10_c,160,359899
V10_c,200,247030
V10_c,240,315121
V10_c,280,210221
V10_c,320,262550
V10_c,360,140983
V10_c,400,259139
V10_c,440,162623
V10_c,480,237191
V10_c,520,164477
V10_c,560,265364
V10_c,600,205298
V10_c,640,281010
V10_c,680,232866
V10_c,720,361066
V10_c,760,298217
V10_c,800,368671
V10_c,840,266205
V10_c,880,340837
V10_c,920,281365
V10_c,960,325825
V10_c,1000,947990
V10_c,1040,2296531
V10_c,1080,4138239
V10_c,1120,3677061
V10_c,1160,2281161
V10_c,1200,2731917
V10_c,1240,3152050
V10_c,1280,2252466
V10_c,1320,2848188
V10_c,1360,2800023
V10_c,1400,1545753
V10_c,1440,1581160
V10_c,1480,955998
V10_c,1520,991159
V10_c,1560,814818
V10_c,1600,811969
V10_c,1640,691600
V10_c,1680,514284
V10_c,1720,423174
V10_c,1760,440072
V10_c,1800,454704
V10_c,1840,738902
V10_c,1880,2690236
V10_c,1920,4900507
V10_c,1960,4269612
V10_c,2000,3344058
V10_c,2040,4125594
V10_c,2080,2535148
V10_c,2120,785048
V10_c,2160,341320
V10_c,2200,253096
V10_c,2240,378433
V10_c,2280,313218
V10_c,2320,316597
V10_c,2360,232454
V10_c,2400,308085
V10_c,2440,277832
V10_c,2480,291879
V10_c,2520,231935
V10_c,2560,307003
V10_c,2600,248739
V10_c,2640,271608
V10_c,2680,204520
V10_c,2720,285608
V10_c,2760,244235
V10_c,2800,269640
V10_c,2840,210121
V10_c,2880,263209
V10_c,2920,224897
V10_c,2960,276913
V10_c,3000,211222
V10_c,3040,332956
V10_c,3080,230879
V10_c,3120,293813
V10_c,3160,234983
V10_c,3200,279972
V10_c,3240,225782
V10_c,3280,289968
V10_c,3320,233715
V10_c,3360,261481
V10_c,3400,228144
V10_c,3440,328325
V10_c,3480,259580
V10_c,3520,306316
V10_c,3560,243052
V10_c,3600,345130
V10_c,3640,294782
V10_c,3680,377110
V10_c,3720,392234
V10_c,3760,507870
V10_c,3800,479408
V10_c,3840,411916
V10_c,3880,263600
V10_c,3920,324428
V10_c,3960,299381
V10_c,4000,419687
V10_c,4040,1279612
V10_c,4080,3035397
V10_c,4120,5620495
V10_c,4160,6991824
V10_c,4200,6087942
V10_c,4240,3237859
V10_c,4280,521531
V10_c,4320,1443915
V10_c,4360,1756932
V10_c,4400,748238
V10_c,4440,764285
V10_c,4480,2884439
V10_c,4520,2974522
V10_c,4560,2081436
V10_c,4600,1027262
V10_c,4640,503183
V10_c,4680,554943
V10_c,4720,638609
V10_c,4760,700974
V10_c,4800,1247049
V10_c,4840,1704551
V10_c,4880,1985120
V10_c,4920,680974
V10_c,4960,675292
V10_c,5000,358283
V10_c,5040,470779
V10_c,5080,1148993
V10_c,5120,8482111
V10_c,5160,21303528
V10_c,5200,34532584
V10_c,5240,41832017
V10_c,5280,49470819
V10_c,5320,54958205
V10_c,5360,53858508
V10_c,5400,49315224
V10_c,5440,45624687
V10_c,5480,35025096
V10_c,5520,32033324
V10_c,5560,26544289
V10_c,5600,24570057
V10_c,5640,23802977
V10_c,5680,22713597
V10_c,5720,21034609
V10_c,5760,18174503
V10_c,5800,14890151
V10_c,5840,11993723
V10_c,5880,9159591
V10_c,5920,6863821
V10_c,5960,4559308
V10_c,6000,3511881
V10_c,6040,3726173
V10_c,6080,4422582
V10_c,6120,4019933
V10_c,6160,3073033
V10_c,6200,1556249
V10_c,6240,1243109
V10_c,6280,1233321
V10_c,6320,1740462
V10_c,6360,2408070
V10_c,6400,3692411
V10_c,6440,3667153
V10_c,6480,3526400
V10_c,6520,2936365
V10_c,6560,2000961
V10_c,6600,1505029
V10_c,6640,1072508
V10_c,6680,950707
V10_c,6720,1599603
V10_c,6760,2683450
V10_c,6800,4334904
V10_c,6840,5063591
V10_c,6880,5369544
V10_c,6920,4266209
V10_c,6960,4711958
V10_c,7000,8774221
V10_c,7040,14878478
V10_c,7080,17228372
V10_c,7120,15132181
V10_c,7160,9355141
V10_c,7200,4250562
V10_c,7240,2747060
V10_c,7280,2872893
V10_c,7320,3075594
V10_c,7360,3290292
V10_c,7400,2321691
V10_c,7440,1632996
V10_c,7480,3061074
V10_c,7520,3309842
V10_c,7560,3619461
V10_c,7600,3587650
V10_c,7640,3264586
V10_c,7680,4124761
V10_c,7720,5561139
V10_c,7760,7155483
V10_c,7800,8858884
V10_c,7840,10501932
V10_c,7880,12805127
V10_c,7920,13327391
V10_c,7960,8069979
V10_c,8000,4149498
V10_c,8040,6042238
V10_c,8080,10510554
V10_c,8120,14614068
V10_c,8160,18753051
V10_c,8200,18253727
V10_c,8240,18479410
V10_c,8280,18184352
V10_c,8320,14456782
V10_c,8360,12971740
V10_c,8400,19000580
V10_c,8440,23063841
V10_c,8480,29458701
V10_c,8520,43284472
V10_c,8560,68980679
V10_c,8600,101324703
V10_c,8640,127953060
V10_c,8680,136048368
V10_c,8720,71670207
V10_c,8760,45297398
V10_c,8800,45905473
V10_c,8840,52360908
V10_c,8880,78891523
V10_c,8920,109786749
V10_c,8960,113844975
V10_c,9000,92835743
V10_c,9040,67163048
V10_c,9080,43341101
V10_c,9120,36140355
V10_c,9160,29191631
V10_c,9200,15862925
V10_c,9240,7667830
V10_c,9280,12744603
V10_c,9320,20206120
V10_c,9360,24118527
V10_c,9400,25700116
V10_c,9440,27344217
V10_c,9480,31729193
V10_c,9520,33820661
V10_c,9560,51396797
V10_c,9600,56158035
V10_c,9640,60703363
V10_c,9680,61329668
V10_c,9720,54832447
V10_c,9760,54646851
V10_c,9800,49636225
V10_c,9840,21789313
V10_c,9880,9071496
V10_c,9920,5734685
V10_c,9960,5208618
V10_c,10000,4708367
V10_c,10040,4145572
V10_c,10080,6253541
V10_c,10120,6927070
V10_c,10160,4571420
V10_c,10200,5403611
V10_c,10240,5363122
V10_c,10280,3264009
V10_c,10320,1686164
V10_c,10360,1159798
V10_c,10400,1228281
V10_c,10440,603529
V10_c,10480,441692
V10_c,10520,601164
V10_c,10560,709850
V10_c,10600,772908
V10_c,10640,530562
V10_c,10680,371560
V10_c,10720,777655
V10_c,10760,468719
V10_c,10800,380203
V10_c,10840,741890
V10_c,10880,629896
V10_c,10920,531836
V10_c,10960,1376968
V10_c,11000,1173677
V10_c,11040,4653070
V10_c,11080,10205072
V10_c,11120,16713203
V10_c,11160,15833818
V10_c,11200,8420212
V10_c,11240,5681265
V10_c,11280,10971895
V10_c,11320,14920676
V10_c,11360,14134659
V10_c,11400,9888693
V10_c,11440,2429873
V10_c,11480,1680645
V10_c,11520,2481782
V10_c,11560,1792038
V10_c,11600,715083
V10_c,11640,357624
V10_c,11680,453595
V10_c,11720,318683
V10_c,11760,554444
V10_c,11800,354960
V10_c,11840,407120
V10_c,11880,291491
V10_c,11920,381524
V10_c,11960,290001
V10_c,12000,352985
V10_c,12040,274460
V10_c,12080,334520
V10_c,12120,464785
V10_c,12160,3571849
V10_c,12200,6898177
V10_c,12240,3968336
V10_c,12280,1301330
V10_c,12320,2368833
V10_c,12360,1781940
V10_c,12400,1190520
V10_c,12440,400499
V10_c,12480,468271
V10_c,12520,303848
V10_c,12560,509956
V10_c,12600,560423
V10_c,12640,672149
V10_c,12680,587505
V10_c,12720,1276144
V10_c,12760,1530943
V10_c,12800,995790
V10_c,12840,411423
V10_c,12880,499987
V10_c,12920,511328
V10_c,12960,685105
V10_c,13000,744723
V10_c,13040,503790
V10_c,13080,398225
V10_c,13120,594587
V10_c,13160,850408
V10_c,13200,1092453
V10_c,13240,1095915
V10_c,13280,785335
V10_c,13320,554256
V10_c,13360,884507
V10_c,13400,721597
V10_c,13440,646306
V10_c,13480,461430
V10_c,13520,561207
V10_c,13560,559827
V10_c,13600,1057990
V10_c,13640,1274746
V10_c,13680,394929
V10_c,13720,487040
V10_c,13760,574167
V10_c,13800,967924
V10_c,13840,872530
V10_c,13880,338178
V10_c,13920,623494
V10_c,13960,311854
V10_c,14000,399996
V10_c,14040,386887
V10_c,14080,396642
V10_c,14120,294265
V10_c,14160,354442
V10_c,14200,252335
V10_c,14240,394483
V10_c,14280,213931
V10_c,14320,293266
V10_c,14360,209345
V10_c,14400,287059
V10_c,14440,206039
V10_c,14480,1022686
V10_c,14520,388702
V10_c,14560,471060
V10_c,14600,361752
V10_c,14640,509917
V10_c,14680,341008
V10_c,14720,433826
V10_c,14760,771950
V10_c,14800,1904598
V10_c,14840,3003290
V10_c,14880,1993920
V10_c,14920,714552
V10_c,14960,786220
V10_c,15000,2468221
V10_c,15040,909866
V10_c,15080,764613
V10_c,15120,758366
V10_c,15160,521246
V10_c,15200,507783
V10_c,15240,478643
V10_c,15280,1039434
V10_c,15320,1403647
V10_c,15360,749011
V10_c,15400,614728
V10_c,15440,798805
V10_c,15480,817308
V10_c,15520,962165
V10_c,15560,704647
V10_c,15600,1035907
V10_c,15640,2059748
V10_c,15680,759478
V10_c,15720,674758
V10_c,15760,922260
V10_c,15800,345420
V10_c,15840,452937
V10_c,15880,326169
V10_c,15920,400724
V10_c,15960,273089
V10_c,16000,318622
V10_c,16040,284811
V10_c,16080,299147
V10_c,16120,254726
V10_c,16160,311728
V10_c,16200,254180
V10_c,16240,322428
V10_c,16280,276011
V10_c,16320,344955
V10_c,16360,290121
V10_c,16400,452058
V10_c,16440,366397
V10_c,16480,394916
V10_c,16520,328029
V10_c,16560,533347
V10_c,16600,414008
V10_c,16640,477646
V10_c,16680,326016
V10_c,16720,452776
V10_c,16760,343228
V10_c,16800,397348
V10_c,16840,271085
V10_c,16880,406761
V10_c,16920,403142
V10_c,16960,538113
V10_c,17000,620998
V10_c,17040,883901
V10_c,17080,1043404
V10_c,17120,504625
V10_c,17160,1450081
V10_c,17200,4819367
V10_c,17240,696557
V10_c,17280,1372999
V10_c,17320,1106209
V10_c,17360,727935
V10_c,17400,408523
V10_c,17440,490777
V10_c,17480,463362
V10_c,17520,487799
V10_c,17560,4607970
V10_c,17600,20133467
V10_c,17640,16805627
V10_c,17680,4126468
V10_c,17720,9704936
V10_c,17760,4824248
V10_c,17800,686965
V10_c,17840,1287785
V10_c,17880,1094564
V10_c,17920,786373
V10_c,17960,1482108
V10_c,18000,1474043
V10_c,18040,452700
V10_c,18080,490162
V10_c,18120,336405
V10_c,18160,368686
V10_c,18200,286125
V10_c,18240,405395
V10_c,18280,280807
V10_c,18320,343665
V10_c,18360,294443
V10_c,18400,408719
V10_c,18440,290417
V10_c,18480,349601
V10_c,18520,234020
V10_c,18560,336851
V10_c,18600,285949
V10_c,18640,321002
V10_c,18680,179483
V10_c,18720,284363
V10_c,18760,248376
V10_c,18800,295747
V10_c,18840,260665
V10_c,18880,396882
V10_c,18920,326447
V10_c,18960,404310
V10_c,19000,212802
V10_c,19040,366409
V10_c,19080,229038
V10_c,19120,310913
V10_c,19160,233636
V10_c,19200,281486
V10_c,19240,173736
V10_c,19280,979524
V10_c,19320,325480
V10_c,19360,344918
V10_c,19400,258595
V10_c,19440,339008
V10_c,19480,234692
V10_c,19520,275908
