"Begin Time - msec","End Time - msec","RS_Detail","RG_RefNum_Right",
113829,114213,"L-str_06-geschlaengeltZuAufKirchplatz",
114213,114337,"Pos-nach",
114337,114581,"Pos-links",
115016,115183,"Ad-femSg",
115183,115608,"V-motion",
116775,116922,"T-dann",
116922,117194,"V-motion",
117194,117347,"P-DuPerspektive",
117347,117501,"Pos-auf",
117501,117872,"Ad-maskSg",
117872,118150,"L-lm3_kirchplatz",
118150,118254,"Prep-mit",
118254,118354,"Ad-femPl",
118354,118498,"AttL-number",
118498,119120,"L-lm3_kirchen",
120123,120508,"Ad-femSg",
120508,121050,"Pos-links",
121050,121799,"L-lm3_RT",
122638,122852,"V-static",
122852,123287,"Aid-maskSg",
123287,123588,"O-Wiederholung",
123588,124253,"L-lm3_RT-kuppeldach",
125448,125628,"Aid-maskSg",
125628,125805,"L-lm3_RT-kuppeldach-kreuz",
125805,125966,"Pos-oben",
125966,126260,"Pos-darauf",
129026,129457,"O-Negation",
129457,129899,"AttL-others",
129899,130464,"L-objekt-sg_unbestimmbar",
131631,131992,"Ad-femSg",
131992,132447,"Pos-rechts",
132447,133009,"L-lm3_DT",
133611,134026,"V-static",
134026,134287,"AttL-number",
134287,134902,"L-lm3_DT-turm-pl-lUr",
134902,135063,"Aid-maskSg","115"
135063,135798,"L-lm3_DT-langH-dach-sg","115"
136721,136835,"Pos-auf","117"
136835,137126,"Ad-maskSg","117"
137126,138016,"Pos-rechts","117"
138307,138812,"V-static","117"
139454,139594,"Aid-maskSg","117"
139594,139970,"L-lm3_DT-turm-kreuz-sg-r","117"
140562,140633,"Ad-neuSg","117"
140633,140711,"V-other","117"
140711,140789,"Ad-femPl","117"
144120,144359,"V-static",
144359,144483,"Aid-maskSg","120"
144483,144763,"AttL-size","120"
144763,145499,"AttL-shape",
145499,145967,"L-lm3_DT-rundfenster",
146589,146769,"Pos-vorne",
146769,147057,"Pos-darauf",
148841,149189," O-Kommentar",
149189,149395,"Ad-neuSg",
149395,149816,"V-static",
151481,151874,"O-Bestaetigung",
152727,153127,"T-dann",
153127,153452,"Pos-zwischen",
153452,153558,"Ad-femPl",
153558,153856,"AttL-quantity",
153856,154187,"L-lm3_kirchen",
154187,154647,"Dir-durch",
156568,156756,"T-wenn",
156756,157024,"Ad-femSg",
157024,157343,"L-str_07-wegVonKirchplatz","133"
157343,157464,"Prep-zu","133"
157464,157650,"Pos-Ende","133"
157650,157766,"V-static","133"
157766,157957,"Dir-links","133"
157957,159127,"V-motion","133"
162832,163842,"T-dann",
165606,166163,"V-motion",
166163,166361,"P-DuPerspektive",
168805,169267," O-Versprecher",
169924,170134,"V-motion",
170134,170240,"P-DuPerspektive",
170240,170347,"Pos-an",
170347,170399,"Aid-femSg",
170399,170669,"L-park_hecke-parallelZuFluss",
170864,170988,"Pos-da","140"
170988,171084,"V-static","140"
171084,171163,"T-dann","140"
171163,171260,"Ad-maskSg","140"
171260,171691,"L-park",
171977,172103,"V-motion","143"
172103,172159,"P-DuPerspektive","143"
172159,172240,"Pos-an","143"
172240,172319,"Aid-femSg","143"
172319,172592,"L-park_hecke-parallelZuFluss","143"
172592,172874,"Dir-entlang",
174555,174757," O-Kommentar",
174909,175055,"Pos-da",
175055,175236,"V-static",
175236,175334,"Aid-maskSg",
175334,175916,"L-park_eingang-torbogen",
175916,176039,"Dir-in",
176039,176138,"Ad-maskSg",
176138,176240,"P-neutral",
176240,176477,"Dir-rechts",
176477,176893,"Dir-rein",
177227,177391,"V-motion",
177391,177541," O-Kommentar",
177541,177625,"P-DuPerspektive",
177984,178088,"Ad-femPl","153"
178088,178242,"L-objekt-sg_unbestimmbar","153"
178242,178524,"Pos-rechts",
178524,178786,"V-other",
178868,178974,"T-wenn",
178974,179012,"P-DuPerspektive",
179012,179061,"Ad-maskSg",
179061,179244,"L-see",
179244,179558,"V-perception",
179558,179711,"V-motion",
179711,179768,"P-DuPerspektive",
179768,179882,"Pos-da",
179882,180209,"Dir-rein",
181627,181937,"T-dann",
