Begin Time - msec,End Time - msec,R.G.Right.Phrase
29210,33070,iconic
33080,35620,iconic-beat
35990,37630,iconic
45949,48109,move
48119,49459,deictic
50849,51399,iconic
60349,60909,iconic
62407,63227,deictic
64817,66117,iconic
71997,74347,iconic
75067,75987,move
88827,90837,iconic
124447,125257,deictic
127944,129394,iconic
130524,132404,iconic
134334,135230,iconic
140444,141324,discourse
141728,142808,iconic
142808,144720,iconic
150974,153020,deictic
153020,154304,deictic
158344,161874,beat
170774,171930,iconic
171930,173204,beat
194224,195415,iconic
195415,201014,iconic-beat
212474,214724,iconic-deictic
219122,220362,move
226149,228019,iconic
228029,228590,deictic
228590,230559,iconic
258289,259449,beat
259449,260699,beat
260699,262639,deictic
262639,263679,iconic
263679,265050,deictic
267789,269489,deictic
276309,279119,iconic-deictic
279119,281180,iconic-beat
281180,282260,iconic
284809,285769,deictic
