Begin Time - msec,End Time - msec,RG_RefNum_Right
29210,33070,28
33080,35620,31
35990,37630,32
48119,49459,46
50849,51399,47
60349,60909,58
62407,63227,62
64817,66117,66
71997,74347,75
88827,90837,94
124447,125257,117
127944,129394,125
130524,132404,133
141728,142808,148
142808,144720,150
150974,153020,155
153020,154304,157
170774,171930,183
194224,195415,200
195415,201014,202
212474,214724,227
226149,228019,237
228029,228590,238
228590,230559,239
260699,262639,274
262639,263679,278
263679,265050,279
267789,269489,284
276309,279119,294
279119,281180,302
281180,282260,303
284809,285769,309
