"","begintimes","endtimes","gesture_type","hand","gesture_duration","gesturesid","ppn","sfeat_envaccpeaksd","sfeat_envaccpeaks","sfeat_maxenvacc","sfeat_maxenvvel","sfeat_maxenv","sfeat_meanf","sfeat_maxf0","kfeat_wristindexdistanceright","kfeat_wristindexdistanceleft","kfeat_thumbindexdistanceright","kfeat_thumbindexdistanceleft","kfeat_wristwidthleftright","kfeat_wristheightright","kfeat_wristheightleft","kfeat_timetospeedright","kfeat_timetospeedleft","kfeat_avjerkright","kfeat_avjerkleft","kfeat_peakswristright","kfeat_peakswristleft","kfeat_maxspeedelbowright","kfeat_maxspeedelbowleft","kfeat_maxaccwristright","kfeat_maxaccwristleft","kfeat_maxspeedwristright","kfeat_maxspeedwristleft"
"11",45610,46260,"iconic","left",650,"event_code11","V07",7,0.00307692307692308,70.20207458,3.37392403,0.689274661,128.23042175,135.588366,0.187987298389189,0.107637550702233,0.0897456549789414,0.0864050150273698,0.0699369185722744,-0.0968087817782812,-0.0863142467905206,0.984615384615385,0.738461538461539,10.0208344767417,22.0591263849119,4,4,54.263613900445,71.0140927274644,24.7356233388064,31.4935005621811,68.1470570713095,72.3690107812177
"12",46260,48950,"iconic","left",2690,"event_code12","V07",5.25,0.00483271375464684,76.36751903,4.990449865,0.646595543,139.312066825301,223.844789,0.160603131112211,0.0910054041647163,0.0552845338920678,0.0641537348010941,0.0717736678266272,-0.0506199590325344,-0.0660338384234525,0.342007434944238,0.565055762081784,16.386447193309,17.6752996795844,19,18,69.766925235754,70.4790429833544,51.3107388013306,41.7444188346751,106.038566133616,89.2616253892878
"13",48960,49700,"discourse","left",740,"event_code13","V07",7,0.00405405405405405,72.52621334,4.859896165,0.470521907,172.99295944186,222.264672,0.132634314074289,0.103249474365056,0.0137524125054132,0.0435088527979969,0.16096700288003,-0.152070335002598,-0.158908813980172,0.540540540540541,0.540540540540541,46.571928376593,37.8383712213215,6,6,74.6657653973947,99.9686745455231,61.8647654020926,66.6133112216801,130.873240775736,119.377363051493
"14",49700,52280,"iconic-beat","left",2580,"event_code14","V07",4.308,0.00542635658914729,115.4775694,6.543371291,0.763548827,181.874581408,296.492959,0.0569075448093198,0.06779104571081,0.0257669422725919,0.0287815819124378,0.0963907816639124,-0.0837718667801967,-0.108473656500161,0.821705426356589,0.821705426356589,24.295694802604,26.3762863477106,17,16,147.767403929711,193.873980490632,61.5612112217624,101.081654713215,195.923512871612,241.094841223718
"15",67926,69466,"move","left",1540,"event_code15","V07",5.167,0.00454545454545455,89.27820174,3.764961554,0.636109515,143.563585390805,239.906014,0.0933687065659352,0.0889830717538794,0.0357562936489582,0.0101006285006644,0.268836512004933,-0.310390725918611,-0.33598831462482,0.311688311688312,0.441558441558442,13.1877189567382,16.3904507126635,10,10,51.946664166431,52.2456801859773,20.2528470472919,56.5837921342974,77.2742786341054,98.551604925667
"16",74330,77550,"iconic","left",3220,"event_code16","V07",4.562,0.00527950310559006,111.7994307,4.673360153,0.685852574,156.240064253927,213.875991,0.100431630953688,0.0475665477766858,0.0866520842334783,0.0480792139374748,0.164912913827505,-0.147856394830342,-0.129758852865593,0.298136645962733,0.111801242236025,21.3134009590481,21.8235167832589,18,18,79.6186751103093,102.832045976229,41.476801342622,55.7751208848357,109.088640671571,117.20732973646
"17",79970,81710,"iconic","left",1740,"event_code17","V07",4.125,0.00517241379310345,83.85742832,4.20446228,0.610824364,145.530530149425,192.349374,0.133699116502714,0.0807086671826833,0.00510584361841891,0.0584922609340379,0.242180240101467,-0.0902488059918399,-0.0883667586479558,0.689655172413793,0.367816091954023,20.6107840519134,24.686790414437,12,8,81.851201962031,66.2395337950516,56.9801209471432,58.1340748904225,110.757312154159,120.929922382664
"18",82680,83970,"deictic","left",1290,"event_code18","V07",4.333,0.00542635658914729,113.3066122,4.824493488,0.695284827,138.870232890411,156.009622,0.0681804353080774,0.114845947145538,0.0189031319339169,0.063923615925625,0.272645728787252,-0.22334208615,-0.2196570998738,0.27906976744186,0.310077519379845,25.3672614380377,28.9432961485595,8,7,70.9222829006861,95.5310773319902,66.7849707203608,67.5154043986644,111.430531319546,125.605626603681
"19",83970,85950,"iconic","left",1980,"event_code19","V07",4.75,0.00454545454545455,86.9129445,3.536718787,0.639904559,154.931944937107,209.823106,0.160937677484401,0.140132074391949,0.0749267231285877,0.0382349976990365,0.325107583469435,-0.114420038945072,-0.0832201313535622,0.545454545454545,0.464646464646465,22.9505224492037,33.1656644868034,10,15,130.019021015519,136.360532788069,43.6948742449233,75.6421575839786,146.964946677449,154.180099443514
"20",85950,87330,"iconic","left",1380,"event_code20","V07",3.714,0.00579710144927536,88.73169596,3.90498469,0.570804136,151.577700294118,206.356382,0.150247374772534,0.115696330234825,0.0300454249769834,0.0675067830123598,0.248864591501559,-0.0378161087628861,-0.0132750467690864,0.608695652173913,0.579710144927536,27.9205881375448,31.9831437984796,8,7,120.918790762244,120.706457842355,38.1617464426381,56.9181608148745,125.169318013127,143.850428444924
"21",87330,88170,"iconic","left",840,"event_code21","V07",3.75,0.00595238095238095,81.96385035,5.250924462,0.685409353,149.010080909091,182.730042,0.143536009858277,0.157565968568058,0.0405639127685982,0.060105064559075,0.269600994123335,-0.0709643433381333,-0.053533277483284,0.0952380952380952,0.0952380952380952,18.7917483214355,13.7034461268161,6,7,82.570283651356,84.6648622081379,28.5675966664988,28.5628911766272,89.2245748463632,82.6519913358972
"22",88170,90060,"iconic","left",1890,"event_code22","V07",4.444,0.00529100529100529,113.1512763,4.539027091,0.681038491,158.354128308642,230.318981,0.156721393829902,0.0594345416060523,0.0801262827467038,0.0495743011716688,0.294651534882476,-0.0164394659859858,0.0279956045080147,0.275132275132275,0.888888888888889,34.3515648572925,38.7685437949165,12,12,130.766964895991,103.495219606637,75.0496248805443,108.069448344437,157.185819361658,199.84533473808
