"Begin Time - msec","End Time - msec","RG_RefNum_Right",
6910,8780,"3"
8780,9900,"5"
9910,12240,"7"
12240,13200,"9"
13200,17670,"10"
17670,20320,"16"
20600,21320,"20"
21330,22650,"21"
32130,33810,"35"
33810,35650,"39"
36170,38970,"39"
40980,42070,"43"
42070,50260,"46"
50260,52000,"50"
54640,59000,"53+55"
59000,65100,"57"
72620,73710,"72"
85690,87570,"89"
94950,97930,"99"
97950,103850,"102"
108152,109202,"114"
114282,115892,"122"
119452,120950,"128"
125782,127762,"136"
127762,129480,"137"
129482,132272,"139"
139830,142610,"149"
142610,145090,"149"
145190,147330,"161"
147330,150030,"162"
150030,153940,"164"
153940,156070,"169"
156070,157780,"172"
158610,160270,"176"
160270,162760,"178"
162760,163220,"180"
163220,164950,"181"
165070,165740,"184"
165740,167040,"186"
167040,168630,"189"
174490,175650,"194"
175660,177120,"195"
178290,179760,"196"
182341,183581,"204"
183581,184261,"205"
190570,191840,"218"
191840,193870,"220"
193870,194400,"221"
194400,195610,"221"
195610,197520,"225"
197970,201150,"232"
202470,204430,"239"
204430,205480,"241"
205480,208390,"242"
208390,210050,"244"
210060,213370,"249"
215720,218450,"258"
221700,223230,"269"
233110,234460,"278"
234460,235460,"281"
235460,238800,"287"
238800,243520,"288"
243520,244920,"297"
244930,247020,"301"
247030,249080,"304"
249850,251630,"309"
251630,253340,"312"
253350,254650,"317"
255150,256070,"318"
256080,257070,"319"
257080,258640,"321"
258650,261010,"322"
261010,264640,"329"
264640,266210,"333"
266210,267760,"335"
267770,269200,"337"
269200,270650,"339"
270650,273530,"345"
280699,281759,"352"
281759,283149,"355"
283159,284269,"356"
284269,285820,"358"
293630,294860,"371"
294860,295940,"371"
295950,296460,"373"
296460,297270,"374"
297280,299420,"377"
299960,303650,"378"
303660,305150,"383"
305150,307290,"386"
307300,308810,"387"
312840,314400,"391"
315360,317900,"394"
318790,320980,"398"
320980,322350,"398"
322360,325800,"401"
325810,327650,"405"
329150,330720,"409"
331430,332620,"410"
339780,341950,"420"
341960,344050,"422"
344050,348790,"426"
350640,352320,"429"
352320,354950,"431"
354960,355710,"433"
355710,357430,"437"
357430,360380,"439"
376700,379030,"463"
399030,401340,"487"
405830,407570,"no-affiliate(L-lm3_kirchen)"
407570,410650,"496"
412036,414196,"501"
414890,416446,"502"
416446,418156,"505"
420756,423070,"515"
431646,435820,"527+528"
435820,436446,"530"
436456,439120,"530"
442415,443990,"534"
443990,444435,"536"
444435,445465,"537"
445465,446825,"539"
448540,450550,"547"
450565,455065,"551"
455095,456585,"555"
456585,459210,"555"
462810,465560,"561"
466330,468410,"563"
468410,470180,"564"
471060,472700,"568"
472700,474580,"571"
474590,477260,"572"
483930,486090,"578"
486090,488670,"581"
492780,496130,"588"
496130,497510,"590"
497510,499390,"593"
505220,506150,"601"
506150,507590,"604"
507590,508500,"605"
508510,509840,"609"
547570,550420,"617+618"
550420,555520,"621"
562060,566230,"641"
566710,568410,"647"
573360,574680,"658"
575590,578590,"659"
578590,580500,"661"
580500,582470,"665"
582480,583660,"666"
583660,585430,"670"
593070,597310,"688"
597325,599855,"689"
602370,605380,"698"
605390,606690,"700"
606690,607550,"701"
607550,608490,"700"
608500,610600,"702"
610600,612180,"no-affiliate(L-str_14-parallelZuKappele)"
612180,612940,"706"
614180,616000,"708"
624400,627340,"714"
627340,630930,"717"
630940,635810,"722"
635810,641010,"727"
641010,642060,"728"
642070,644210,"730"
644210,645740,"731"
646880,651190,"732"
651190,652530,"738"
652530,653670,"740"
653670,655520,"742"
655520,656250,"744"
660310,662630,"751"
662630,664140,"751a"
664620,668030,"755"
673860,675740,"767"
675740,676900,"772"
676900,678370,"774"
681070,683760,"782"
683760,685370,"785"
686710,687570,"788"
687570,689990,"790"
691660,692640,"798"
702600,705000,"811"
705000,706500,"814"
706500,708910,"815"
710670,713160,"822"
713160,715390,"825"
727010,728000,"836"
728000,730560,"837"
731520,736240,"844"
737740,739460,"847+849"
739460,741970,"854"
741970,743480,"856"
743480,748250,"859"
748453,751033,"862"
751033,754673,"864"
754673,756040,"866"
756040,756690,"867"
756690,758461,"869"
760391,763981,"875"
764491,765421,"879"
765421,766721,"881"
766721,767790,"885"
770330,771971,"888"
771971,772651,"890"
772651,774521,"891"
774521,775710,"893"
775710,776871,"894"
776871,779340,"897"
782941,783881,"902"
783881,786131,"903"
786141,787060,"908"
787060,788741,"909"
788741,790280,"910"
790291,792120,"914"
794640,798920,"925"
798921,803391,"928"
803391,804311,"931"
804311,805501,"933"
805501,808130,"937"
814421,816610,"948"
816610,820671,"955"
832401,833970,"979"
839031,839950,"985"
839961,841601,"985"
846301,847921,"992"
847931,849900,"993"
849911,851861,"998"
851861,856760,"1001+1003"
860391,862651,"1013"
862651,863670,"4015"
863670,865420,"1020"
865420,866541,"1021"
869221,870100,"1025"
870990,874170,"1027"
874170,876001,"1033"
881262,883142,"1041"
883142,890982,"1045"
890982,891732,"1051"
891732,894072,"1053"
894072,895222,"1054"
895222,896062,"1054"
896072,898542,"1057"
898542,900790,"1060"
900790,905392,"1066"
905400,906480,"1068"
906480,908990,"1069"
909000,912070,"1074"
912080,913660,"1076"
916000,917230,"1080"
917230,918180,"1083"
918180,920030,"1084"
920032,921722,"1086"
921722,922392,"1089"
922392,924360,"1091"
928010,930090,"1095"
931420,933220,"1099"
934200,936260,"1104"
946870,948560,"1111"
948570,951220,"1113"
953260,955020,"1117"
955030,958370,"1123"
958370,960200,"1127"
960210,962000,"1128"
984750,986390,"1147"
986952,990822,"1153"
994482,995952,"1158"
1009500,1011160,"1174"
1013312,1014952,"1180"
1014952,1016482,"1184"
1017382,1019202,"1187"
1019202,1020172,"1191"
1020172,1022482,"1194"
1022482,1023810,"1197+1198"
1027002,1030052,"1201"
1031652,1034032,"1206"
1035570,1036860,"1209"
1041973,1043133,"1221"
1043133,1043770,"1224"
1043770,1045343,"1228"
1045353,1048720,"1228"
1048723,1052640,"1237"
1052640,1056250,"1239"
1056250,1060130,"1244"
1060130,1063298,"1250"
1068538,1071428,"1266"
1071438,1072440,"1272"
1072440,1073678,"1274"
1073678,1075468,"1277"
1075478,1075978,"1281"
1076888,1079618,"1285"
1079618,1081518,"1288"
1083308,1088110,"1291"
1094563,1097250,"1309"
1097250,1098523,"1315"
1101520,1102340,"1322"
1102340,1104050,"1326"
1104060,1105010,"1327"
1105020,1106100,"1330"
1106100,1107750,"1331"
