Begin Time - msec,End Time - msec,R.G.Right.Phrase
31990,34190,move
39260,40270,move
46470,47680,move
47740,48520,move
50360,52350,iconic
52360,53810,iconic
64360,65240,iconic
65250,68070,iconic-deictic
68070,70930,iconic
70930,71690,iconic
74460,77690,iconic-deictic
77690,78980,iconic
78980,81200,iconic
82250,83350,deictic
83350,85160,iconic
85160,86770,iconic
86770,87910,iconic
89960,92610,iconic-deictic
92610,93280,iconic
93280,94360,iconic-deictic
94360,95430,iconic-deictic
95440,96510,iconic-deictic
96510,98710,iconic-deictic
105290,110880,iconic
120710,123620,iconic
123620,126380,deictic
156700,158170,deictic
166520,171640,iconic
171650,173320,iconic
173320,174290,iconic
174290,175160,deictic
175170,175870,deictic
175870,176110,deictic
176110,176550,deictic
176550,177530,deictic
178410,179030,iconic
179030,180730,iconic-deictic
180730,181120,deictic
181130,183990,iconic
184330,185840,iconic-deictic
187150,188250,iconic
191290,193200,iconic
196335,197355,iconic-deictic
197355,199035,deictic
199035,200445,iconic
200445,201810,deictic
202015,204547,deictic-beat
204547,206487,iconic
207017,209367,iconic
209367,210347,discourse
211417,212810,iconic
212817,214607,iconic-deictic
224741,225801,iconic
225801,228340,iconic
251150,252550,deictic
252560,254030,deictic
254040,255050,deictic
255050,255850,deictic
255850,256960,deictic
256960,258130,deictic
279830,281970,iconic
317800,318760,iconic
318760,327170,iconic-deictic
327170,337250,move
337250,343920,deictic
345620,349190,iconic
356550,360210,iconic-deictic
360210,363161,deictic
367465,369295,iconic-deictic
369295,373385,iconic
373385,374330,iconic
374330,378855,iconic
379565,380625,iconic-deictic
380625,385520,iconic-deictic
385527,388217,iconic
388217,389877,iconic-deictic
389887,398830,iconic
398830,401340,iconic
401340,406020,iconic-beat
406020,407750,move
408740,412090,move
412090,414220,discourse
414220,419740,discourse
422660,424950,discourse
424950,431080,discourse
431680,432790,iconic
432800,433590,iconic-deictic
433590,437650,iconic
437980,439460,move
439600,441270,iconic
442320,444520,iconic
444530,445810,move
445820,447220,iconic
447220,449450,iconic
449560,451510,iconic
452690,457320,iconic
459990,463190,iconic
465910,468090,deictic
468270,469380,deictic
479570,480880,move
480890,483080,iconic
483080,484850,deictic
484850,486880,iconic
486880,487430,iconic
487430,488600,deictic
535041,538420,iconic
538420,540810,iconic
555961,556531,iconic
556531,558040,iconic
573560,574370,deictic
574370,575460,deictic
575460,576290,move
608010,610670,iconic
610670,613430,iconic
623820,625220,iconic
625220,627400,iconic-beat
627400,629060,iconic-deictic
629060,632280,iconic
632280,635280,iconic
636020,637290,iconic
637291,642961,iconic
642970,644441,iconic
644441,645881,iconic
645900,648980,iconic
648980,650161,iconic
650161,652220,iconic
652220,654330,iconic
654330,656930,iconic
656930,659310,iconic
659310,661890,iconic
661890,662950,iconic
662950,665830,deictic
665830,666890,iconic
670676,673456,deictic
674636,683050,iconic
683056,684790,iconic
684796,685626,iconic
685636,686826,iconic
686836,688176,iconic
690166,694730,deictic
694730,696040,iconic
696040,698096,deictic
698096,708180,iconic
708186,714046,iconic
714046,716986,iconic
716986,717656,deictic
717660,719210,iconic
719220,722910,iconic-beat
724520,725890,iconic
725890,727870,iconic-beat
747290,749780,iconic
749890,751280,iconic
771910,775030,iconic
796090,796380,beat
