Begin Time - msec,End Time - msec,R.G.Right.Phrase
7940,9210,move
9570,11260,move
14660,15850,iconic
18210,19820,iconic
19820,22440,iconic
22440,24150,iconic-beat
31790,35400,iconic
35400,37530,iconic
42030,45020,iconic
45020,45610,iconic
45610,46250,iconic
46250,48460,iconic
48470,48960,deictic
49700,52280,iconic-beat
52480,53990,iconic
53990,55380,iconic
67926,69466,move
74330,77550,iconic
79970,81710,iconic
82680,83970,deictic
83970,85950,iconic
85950,87330,iconic
87330,88170,iconic
88170,90060,iconic
91610,93610,iconic
108640,111130,iconic
113580,114460,iconic
114460,115760,iconic
120785,121995,iconic
121995,122835,iconic
139431,141711,iconic
142971,146901,iconic
147221,149470,iconic
149470,150091,iconic
150091,150911,iconic
150921,151511,iconic
151521,152480,deictic
152480,153921,iconic
153921,155301,iconic
155301,157081,iconic
157861,159300,iconic-deictic
159300,160641,iconic-deictic
161120,163650,iconic-deictic
163650,164460,iconic
164460,166210,iconic
167490,169180,iconic-deictic
170010,171180,iconic
171190,172090,iconic
173810,174380,deictic
174380,175310,deictic
177610,179090,iconic
179090,180220,iconic
180220,182650,iconic
188590,191020,iconic
192604,194634,move
200110,202100,move
203750,204580,move
217260,219990,iconic
220000,221440,iconic
225910,227560,deictic
228300,230030,iconic
230040,230930,iconic-deictic
230930,232010,iconic-deictic
232010,233640,iconic
235430,236300,deictic-beat
238663,240035,iconic
241190,243520,iconic
243520,245420,iconic
246360,247990,iconic
247990,250020,iconic
250020,250870,deictic
250880,252110,iconic
252110,253720,deictic
253720,255210,iconic
255810,256560,move
259120,260560,iconic
261360,263990,iconic
264820,266410,move
267150,269280,iconic
269280,269990,iconic-deictic
269990,270660,iconic-deictic
270660,272070,iconic
272700,273560,deictic
279170,280270,deictic
285861,287871,iconic
294071,295781,iconic-deictic
295781,297351,iconic-deictic
297351,298930,iconic
303691,305431,iconic
306081,307470,iconic-deictic
307470,308010,iconic-deictic
308010,308900,deictic
308900,309781,deictic
309791,310560,iconic-deictic
316904,319234,move
320440,322530,iconic-beat
322540,323400,iconic
328564,331094,move
340730,343290,iconic
343300,344350,iconic-deictic
344360,345470,iconic
345470,347030,iconic
347650,349190,iconic
370020,371080,deictic
371090,374040,iconic-beat
374050,376130,iconic
376130,377410,iconic
378150,379680,iconic
379680,383140,iconic
386130,387750,iconic
387750,388370,deictic
388380,389320,deictic
389760,391490,iconic
391610,394420,iconic
394430,395980,iconic
395980,397630,iconic-beat
397630,399970,iconic
399970,401240,iconic
401240,405080,iconic
405090,406300,iconic
412110,412830,iconic
412840,414500,iconic
414500,415810,iconic
416720,419060,iconic
419060,420790,iconic
422406,424126,move
431271,433131,iconic
433141,434610,iconic
434620,435961,iconic-deictic
435961,437321,iconic
437321,438350,move
438361,439491,iconic
439491,442230,iconic
442230,444360,iconic
444360,445450,iconic
445450,447130,iconic
447130,448940,deictic-beat
448940,450190,iconic
450190,453310,iconic
455230,456830,iconic
459540,461110,iconic
461120,461940,deictic
461940,463010,deictic
464250,465590,iconic
466140,468120,iconic
471750,472770,move
473650,474240,move
477200,480690,iconic
490050,491430,iconic
493090,493620,iconic
493620,494490,iconic
497880,500170,move
