ENV,ENV_VEL,ENV_ACC,time_ms
0.009105457,0.021430083,-3.170738446,40
0.007578183,-0.082922938,-1.02750403,80
0.004471587,-0.061944369,1.255560301,120
0.002751638,-0.024327485,0.595664696,160
0.002191371,-0.011191913,0.054353074,200
0.001670207,-0.010934111,0.126327848,240
0.001440672,-0.003958953,0.055114382,280
0.001200771,-0.005784663,0.009989297,320
0.001084053,-0.002050084,0.047426413,360
0.000941387,-0.003424543,-0.006826241,400
0.000881809,-0.001173562,0.026238959,440
0.000780898,-0.002363042,-0.001538585,480
0.000751723,-0.000575077,0.01201971,520
0.000675257,-0.001865898,0.000165636,560
0.000660406,-0.000182621,0.008817478,600
0.000601858,-0.001551466,-0.003557478,640
0.000593227,1.78E-05,0.010589257,680
0.00054768,-0.001288932,-0.00731198,720
0.000542659,0.000100019,0.011385653,760
0.000505541,-0.001078944,-0.008088867,800
0.000503659,0.000148107,0.009963717,840
0.000471847,-0.000939288,-0.007003931,880
0.000472474,0.0002004,0.008241576,920
0.000444651,-0.000854522,-0.006358059,960
0.000446636,0.000248947,0.007799947,1000
0.000422437,-0.000790516,-0.006898437,1040
0.000424834,0.000276421,0.00834381,1080
0.000403827,-0.00072705,-0.007729968,1120
0.000406372,0.000283541,0.00869617,1160
0.000387794,-0.000667403,-0.007905318,1200
0.000390651,0.000285644,0.00834949,1240
0.000373791,-0.000622355,-0.007492462,1280
0.000377022,0.000293639,0.007791779,1320
0.00036157,-0.000592736,-0.007198932,1360
0.00036494,0.000304704,0.007654616,1400
0.000350893,-0.000568884,-0.007395634,1440
0.00035412,0.000310219,0.007938946,1480
0.00034143,-0.000542678,-0.007770895,1520
0.000344456,0.000308004,0.008151919,1560
0.000332871,-0.000515537,-0.007849694,1600
0.000335842,0.000304246,0.00799265,1640
0.000325061,-0.000493977,-0.007602127,1680
0.000328076,0.000304975,0.007685528,1720
0.000317978,-0.000480029,-0.007413403,1760
0.000320945,0.000308902,0.007624351,1800
0.000311587,-0.000468631,-0.007547102,1840
0.000314348,0.000310086,0.007850475,1880
0.000305763,-0.000454299,-0.007819146,1920
0.000308292,0.000306172,0.008027373,1960
0.000300348,-0.000437902,-0.007870528,2000
0.000302778,0.000301413,0.007904999,2040
0.000295277,-0.000424907,-0.007652685,2080
0.000297709,0.000300878,0.007650981,2120
0.000290586,-0.000417657,-0.007486649,2160
0.000292954,0.000303654,0.007617904,2200
0.0002863,-0.000411946,-0.007624195,2240
0.00028846,0.000304084,0.007859184,2280
0.000282345,-0.000402505,-0.007897566,2320
0.000284279,0.000299536,0.008044981,2360
0.0002786,-0.000390169,-0.007938032,2400
0.000280452,0.000294288,0.007908057,2440
0.000275025,-0.000380917,-0.007686723,2480
0.000276912,0.000293928,0.00762774,2520
0.000271691,-0.000377598,-0.007501189,2560
0.000273535,0.000297479,0.007607864,2600
0.000268655,-0.000375468,-0.007676403,2640
0.000270287,0.000298212,0.007913731,2680
0.000265854,-0.000368221,-0.008010905,2720
0.000267254,0.000292832,0.008141589,2760
0.000263158,-0.000356929,-0.008046066,2800
0.000264509,0.000286699,0.007954963,2840
0.000260535,-0.000349298,-0.007707659,2880
0.000261985,0.000287047,0.007587479,2920
0.000258092,-0.000349127,-0.007464999,2960
0.000259536,0.000292575,0.007574273,3000
0.000255923,-0.00035011,-0.007711952,3040
0.000257129,0.000294169,0.008001937,3080
0.000253955,-0.000343663,-0.008171415,3120
0.000254895,0.000287268,0.008312624,3160
0.000252019,-0.000331306,-0.008205028,3200
0.000252951,0.00027938,0.00803465,3240
0.000250079,-0.00032397,-0.007708289,3280
0.000251213,0.000280837,0.007501551,3320
0.000248298,-0.000327188,-0.007355853,3360
0.00024948,0.000289813,0.007488952,3400
0.000246825,-0.000331835,-0.007724183,3440
0.000247708,0.000292932,0.008127587,3480
0.00024556,-0.000325193,-0.008407438,3520
0.000246101,0.000283286,0.008589252,3560
0.000244259,-0.000309393,-0.008447121,3600
0.000244845,0.000272059,0.008155269,3640
0.000242868,-0.000301009,-0.007673009,3680
0.000243823,0.000275157,0.007323218,3720
0.000241644,-0.000308834,-0.007115648,3760
0.000242729,0.00029011,0.007297153,3800
0.000240827,-0.000318972,-0.007689324,3840
0.000241495,0.000296043,0.008308102,3880
0.000240275,-0.000311138,-0.008780625,3920
0.000240444,0.000281455,0.009056508,3960
0.000239602,-0.000288051,-0.008850929,4000
0.00023989,0.000263755,0.008353429,4040
0.000238713,-0.000276379,-0.007572687,4080
0.000239664,0.000269307,0.006957179,4120
0.000238024,-0.000291573,-0.006607313,4160
0.000239266,0.000295346,0.006870958,4200
0.000237954,-0.000311597,-0.007539519,4240
0.000238558,0.00030721,0.008580692,4280
0.000238304,-0.000301384,-0.009433014,4320
0.000238078,0.000283448,0.009931072,4360
0.000238413,-0.000263165,-0.009623636,4400
0.000238408,0.000252152,0.008747918,4440
0.000238072,-0.000242817,-0.007354686,4480
0.000239313,0.000261195,0.006176298,4520
0.000237992,-0.000271254,-0.005466234,4560
0.000239904,0.000310225,0.005849192,4600
0.000239,-0.000312488,-0.007047473,4640
0.000239845,0.000337232,0.009009992,4680
0.000240843,-0.000299023,-0.01073802,4720
0.000240086,0.000295527,0.011855456,4760
0.00024229,-0.000226056,-0.011431562,4800
0.000241859,0.000230984,0.009798763,4840
0.000242775,-0.000179347,-0.006951796,4880
0.00024495,0.000242636,0.004324354,4920
0.000243582,-0.000233668,-0.002463427,4960
0.000247607,0.000348666,0.002882435,5000
0.000246654,-0.00033241,-0.00518095,5040
0.000248795,0.000427717,0.009598066,5080
0.000252005,-0.000322595,-0.013942264,5120
0.000250259,0.000350307,0.017448198,5160
0.000257087,-0.000149851,-0.017363962,5200
0.000255308,0.000177048,0.014149375,5240
0.000259828,1.24E-05,-0.0067216,5280
0.000264855,0.000160557,-0.001292792,5320
0.000262464,-8.59E-05,0.009004712,5360
0.000275256,0.000465198,-0.010567924,5400
0.000271283,-0.00042828,0.006347132,5440
0.000281788,0.000863063,0.008153454,5480
0.000290934,-0.000564351,-0.026392326,5520
0.000286141,0.000788084,0.048901545,5560
0.000317927,9.26E-05,-0.059921835,5600
0.000302032,-0.00012122,0.058534549,5640
0.000339761,0.00155716,-0.020403805,5680
0.000354975,-0.001144229,-0.045248866,5720
0.000343396,0.002306227,0.166254413,5760
0.000477397,0.000931142,-0.283870388,5800
0.000343252,-0.002721494,0.392897848,5840
0.000691892,0.016985342,-0.121253042,5880
0.000571448,-0.033095308,-1.263364738,5920
0.000642418,0.128944654,12.38650174,5960
0.021016895,0.998544009,27.76386928,6000
0.080671461,1.853832487,8.59417441,6040
0.152176046,1.502409678,-23.22252578,6080
0.191580703,0.478671992,-21.95269048,6120
0.197904095,-0.049574611,-5.576728593,6160
0.193237591,-0.159295954,-1.472468092,6200
0.186609744,-0.134165201,4.16014676,6240
0.186778269,0.182523801,9.744491317,6280
0.200205923,0.423765445,0.319795329,6320
0.21429706,0.219640839,-8.588656831,6360
0.216514782,-0.081863557,-4.715177799,6400
0.211888175,-0.08762798,4.361023296,6440
0.21311507,0.15457331,4.943183381,6480
0.220155152,0.114547346,-6.505779901,6520
0.221343911,0.078352256,13.57044913,6560
0.248067015,1.54699011,54.34454329,6600
0.349097742,3.212020165,11.29149801,6640
0.463303661,1.991743253,-61.10084834,6680
0.497738952,0.038546308,-16.98275733,6720
0.50702773,0.831495852,40.80903215,6760
0.56360309,1.588936404,-17.5283558,6800
0.594217197,-0.386881222,-64.86992533,6840
0.535449919,-2.221444987,-17.85279604,6880
0.444768588,-2.119470381,10.32409846,6920
0.361500015,-2.265606271,-20.82771711,6960
0.250117376,-3.292834401,-18.82113839,7000
0.115894492,-3.071850377,31.24603599,7040
0.026074087,-1.324629854,45.15560427,7080
0.001830767,-0.106214229,13.60738721,7120
0.002072367,0.011753991,-2.436123882,7160
0.001159987,-0.03236081,0.790938804,7200
0.000711085,0.004853445,0.219056465,7240
0.000700521,-0.008864054,-0.316584418,7280
0.000371269,-0.002735866,0.360264771,7320
0.000392345,-0.000336689,-0.202245579,7360
0.000260149,-0.004036824,0.098784365,7400
0.000201787,0.000560099,0.021526162,7440
0.000188351,-0.001902301,-0.063869132,7480
0.000107628,-0.00096932,0.084382213,7520
0.00011369,0.000160993,-0.054988473,7560
6.89E-05,-0.001739633,0.023111464,7600
4.84E-05,0.000603729,0.018490467,7640
4.43E-05,-0.001173884,-0.040028763,7680
8.30E-06,4.58E-06,0.053302137,7720
1.87E-05,-9.62E-05,-0.036494179,7760
5.13E-06,-0.00014777,0.029340039,7800
1.48E-05,0.000450339,-0.003289695,7840
2.89E-05,0.000131583,-0.011932034,7880
2.60E-05,2.11E-06,0.017203674,7920
4.37E-05,0.000581836,-0.014857227,7960
4.26E-05,-0.000447295,0.002592034,8000
4.82E-05,0.000733525,0.01116327,8040
5.90E-05,-0.000402953,-0.024720431,8080
5.19E-05,0.000399779,0.030553524,8120
6.74E-05,-1.52E-05,-0.02948972,8160
6.07E-05,-9.79E-06,0.019431705,8200
6.67E-05,0.000173646,-0.006256224,8240
7.15E-05,-3.26E-07,-0.007725897,8280
6.43E-05,-0.000132995,0.015102503,8320
7.56E-05,0.00041685,-0.01498612,8360
6.78E-05,-0.000609989,0.004308028,8400
6.92E-05,0.000682147,0.011558205,8440
7.52E-05,-0.000639285,-0.029834704,8480
5.93E-05,0.000320181,0.040889748,8520
7.54E-05,-8.36E-05,-0.042242371,8560
5.68E-05,-0.00037611,0.028043753,8600
6.01E-05,0.000355745,-0.004688705,8640
6.16E-05,-0.000490757,-0.024792257,8680
3.68E-05,-0.000170515,0.044555503,8720
5.66E-05,0.000403646,-0.049632788,8760
2.40E-05,-0.001425291,0.026266446,8800
2.33E-05,0.001289193,0.017030366,8840
2.87E-05,-0.001636933,-0.068632656,8880
-1.58E-05,0.000864819,0.130289796,8920
5.74E-05,0.000904164,-0.130022196,8960
1.62E-05,-0.001333313,0.099475472,9000
7.75E-05,0.003881769,0.014961489,9040
0.000139751,-0.002224674,-0.162447458,9080
7.42E-05,0.002809094,0.340638263,9120
0.000322459,0.003977243,-0.410790393,9160
0.000171722,-0.006077143,0.341077513,9200
0.000439848,0.018373612,0.13617039,9240
0.000673706,-0.01572029,-0.990620318,9280
0.000275439,0.023508999,2.698301927,9320
0.002333397,0.027873288,-4.542850226,9360
-0.000808927,-0.124719471,5.545047317,9400
0.012661139,1.198744138,63.11603156,9440
0.118413844,4.077927553,60.34848231,9480
0.30716584,4.733474937,-29.95499256,9520
0.459019975,2.718978719,-51.25080804,9560
0.53708372,1.42173439,-18.38004541,9600
0.575452223,0.295361198,-46.18587987,9640
0.544480537,-1.834869591,-43.36282854,9680
0.457022849,-1.941514522,43.166603,9720
0.431293979,0.921124696,81.90319316,9760
0.52221252,3.204061101,20.21055391,9800
0.642775971,2.261012438,-62.646381,9840
0.672381156,-0.89606097,-79.04882586,9880
0.588674552,-2.774430476,-3.267203887,9920
0.500689026,-1.065581475,78.22337425,9960
0.522624698,1.999617315,53.93667823,10000
0.618943926,2.084129072,-53.16639652,10040
0.638482505,-1.447131577,-102.2646744,10080
0.513698862,-4.219010974,-18.30706271,10120
0.362080545,-2.671081412,82.00830862,10160
0.321960443,0.437609008,49.05902218,10200
0.351112092,0.353504773,-47.47608904,10240
0.319143102,-1.940214437,-46.22525125,10280
0.223628466,-2.317585611,29.37986261,10320
0.170421851,-0.025616236,76.65196102,10360
0.232916814,3.115835287,70.78151752,10400
0.399476684,4.731925897,-0.583658805,10440
0.563135523,2.895586791,-80.98986251,10480
0.613767645,-0.151570902,-50.15426017,10520
0.59086711,-0.472797362,24.39936322,10560
0.589841744,0.169152044,-11.23747498,10600
0.56963006,-1.479749776,-52.63572625,10640
0.486970054,-1.962670298,47.49692783,10680
0.477507041,2.048021795,127.292532,10720
0.643962926,5.54151828,20.20763337,10760
0.837523582,3.136810989,-125.8195115,10800
0.851549414,-2.418841912,-123.8509724,10840
0.68219939,-5.312078464,-15.98922382,10880
0.481103235,-4.273996122,53.75622696,10920
0.356248183,-1.954063775,57.53690455,10960
0.325414211,0.489195351,68.16128373,11000
0.400721541,3.193503765,53.86101122,11040
0.549238469,3.559345584,-44.45701885,11080
0.632318703,0.191006898,-102.6486076,11120
0.570871607,-2.748296956,-27.80141494,11160
0.4659911,-1.911598335,57.61993904,11200
0.438735878,0.451044462,43.81881772,11240
