"Begin Time - msec","End Time - msec","RS_Detail","RG_RefNum_Right",
6524,6806,"O-Bestaetigung",
8064,8158,"P-egozentrisch",
8158,8322,"V-other",
9192,9310,"O-Versprecher",
9504,9621,"Dir-durch",
9621,9868,"Aid-femSg",
10238,11408,"L-sagaland",
11408,11875,"V-motion",
13309,13556,"Aid-maskSg",
13556,14244,"L-rundfahrt",
14674,15026,"T-dann","7"
15026,15148,"V-static","7"
15148,15301,"Ad-maskSg","7"
15301,15389,"Pos-an","7"
15389,16124,"L-5stationen",
16124,16353,"V-motion",
18118,18191,"P-DuPerspektive",
18191,18526,"V-motion",
18526,18635,"Pos-an","13"
18635,18894,"Pos-Anfang","13"
18894,19008,"Pos-auf","13"
19008,19155,"Ad-femSg","13"
19440,19911,"L-strKr_01-Kr-zuAufSkulptur",
20223,20379,"T-dann","16"
20379,20555,"V-motion","16"
20555,20811,"Aid-maskSg","16"
20811,21287,"AttL-shape","16"
21287,21446,"L-str_01-geschlaengeltZuAufSkulptur","16"
21446,22251,"Dir-geradeaus","16"
22325,22410,"T-dann","16"
22410,22680,"V-motion",
22680,22736,"P-DuPerspektive","20"
22736,22848,"Pos-auf","20"
22848,22965,"Aid-maskSg","20"
23481,24184,"L-lm1_kreisverkehr",
24782,24849,"Pos-in",
24849,24925,"Ad-maskSg",
24925,25119,"Pos-Mitte",
25119,25256,"Prep-von",
25256,25425,"Ad-maskSg",
25425,26075,"L-lm1_kreisverkehr",
26075,26247,"V-static",
26247,26323,"Ad-femSg",
26323,27040,"L-lm1_skulptur",
27040,27113,"Ad-femSg",
27113,27708,"L-lm1_skulptur",
28497,28558,"Ad-femSg",
28558,28679,"V-static",
28679,29166,"AttL-color",
29583,29946,"AttL-others",
30071,30169,"Aid-maskSg",
30169,30854,"L-lm1_skulptur-bauteile",
30854,31529,"O-Kommentar",
33002,33314,"AttL-number","31"
33314,34014,"L-lm1_skulptur-bauteile","31"
34014,35463,"AttL-shape",
35667,35989,"AttL-quantity","34"
36199,36619,"AttL-number","34"
36619,37071,"L-lm1_skulptur","34"
37071,37447,"V-static","34"
39096,39640,"O-Bestaetigung",
40466,40711,"Ad-neuSg",
40711,40813,"V-static",
40813,40880,"Ad-femSg",
40880,41759,"L-lm1_skulptur",
42877,43008,"Pos-in","37"
43008,43126,"Ad-maskSg","37"
43126,43842,"L-lm1_kreisverkehr","37"
43842,44075,"V-static","37"
44075,44482,"AttL-quantity","37"
44482,44673,"Dir-inRichtung","37"
44673,45177,"Dir-links",
45177,45375,"AttL-quantity","41"
45375,45541,"Pos-nach","41"
45541,45831,"Dir-links",
45831,46197,"AttL-quantity","43"
46197,46328,"Pos-nach",
46328,46646,"Dir-links","44"
47370,47845,"Dir-geradeaus","44"
48552,48679,"Pos-nach","46"
48679,48905,"Dir-rechts","46"
48905,49013,"V-static",
49093,49160,"Aid-maskSg",
49160,49354,"L-str_unbestimmbar",
49707,49825,"V-static","49"
50086,50169,"P-DuPerspektive","49"
50169,50436,"V-motion","49"
50872,51025,"Ad-maskSg","49"
51025,51156,"Ad-maskSg","49"
51156,51621,"Dir-geradeaus","49"
51621,52057,"V-static","49"
52057,52337,"Dist-weiter",
52975,53175,"Dir-um","51"
53175,53414,"Ad-maskSg","51"
53414,53758,"O-Versprecher","51"
53758,54245,"L-lm1_skulptur",
54245,54478,"Pos-da","55"
54478,54599,"Dir-herum","55"
54688,54828,"T-dann","55"
54828,55175,"Dir-geradeaus","55"
55175,55491,"Dist-weiter",
57183,58171,"T-dann",
61458,61939,"V-motion",
61939,62114,"P-neutral",
62114,62458,"T-dann",
62731,63696,"Dir-geradeaus",
64245,64446,"P-egozentrisch",
65628,65793,"P-egozentrisch",
65793,65978,"O-Negation",
66398,66905,"V-other",
67188,67583,"O-Kommentar",
67583,67698,"T-dann",
67860,67962,"P-DuPerspektive",
68968,69060,"Dir-inRichtung",
69060,69194,"Ad-neuSg",
69194,69678,"L-lm2_rathaus",
69678,70261,"V-motion",
72678,72742,"T-wenn",
72742,72802,"P-DuPerspektive",
72802,72946,"Ad-neuSg",
72946,73372,"L-lm2_rathaus",
73372,73694,"V-other",
73910,74251,"O-Versprecher",
74430,74557,"Ad-maskSg","64"
74557,74974,"L-lm2_rathaus","64"
74974,75114,"V-static","64"
75223,75824,"AttL-shape","64"
76548,76844,"AttL-shape","64"
79086,79204,"Ad-neuSg",
79204,79363,"V-static",
79363,79545,"AttL-quantity",
79545,80267,"AttL-shape",
80509,80780,"Pos-Vorderseite","70"
80780,81025,"V-static","70"
81025,81312,"AttL-number","70"
81312,81907,"L-lm2_baum-LBkl-pl",
82270,82646," O-Versprecher",
82646,82802,"Pos-auf",
82802,82875,"Ad-maskSg","74"
82875,83190,"Pos-links","74"
83190,83340,"Pos-auf","74"
83340,83454,"Ad-maskSg","74"
83454,83760,"Pos-rechts","74"
83760,84035,"Pos-Seite",
84035,84225,"Pos-vor","77"
84225,84589,"Ad-neuSg","77"
84734,85128,"L-lm2_rathaus","77"
