Begin Time - msec,End Time - msec,R.G.Sequence
7940,9210,SEQ
9570,11260,SEQ
12680,13080,SEQ
14660,15850,SEQ
18210,24160,SEQ
31790,37530,SEQ
42030,52280,SEQ
52460,55390,SEQ
67926,69466,SEQ
74330,77550,SEQ
79970,81710,SEQ
82680,90060,SEQ
91610,93610,SEQ
103296,107146,SEQ
108640,111160,SEQ
113580,115760,SEQ
120785,122845,SEQ
139431,141711,SEQ
142971,146901,SEQ
147220,157091,SEQ
157861,160650,SEQ
161110,166220,SEQ
167490,169180,SEQ
170010,172090,SEQ
173800,175310,SEQ
175540,176280,SEQ
177610,182650,SEQ
188590,191020,SEQ
192604,194634,SEQ
200110,202100,SEQ
203750,204580,SEQ
217260,219990,SEQ
220000,221440,SEQ
225910,227560,SEQ
228300,230030,SEQ
230040,233640,SEQ
235430,236300,SEQ
236970,238070,SEQ
238110,245420,SEQ
246350,255220,SEQ
255810,256560,SEQ
259120,260560,SEQ
261360,263990,SEQ
264820,266410,SEQ
267150,272070,SEQ
272700,273560,SEQ
276130,277110,SEQ
279170,280270,SEQ
285861,287871,SEQ
294071,298930,SEQ
303691,305431,SEQ
306080,310560,SEQ
310590,311410,SEQ
316904,319234,SEQ
320440,323400,SEQ
328564,331094,SEQ
340720,347030,SEQ
347650,349190,SEQ
352230,353360,SEQ
370020,377410,SEQ
378150,383140,SEQ
386120,389320,SEQ
389760,391490,SEQ
391610,406300,SEQ
412110,415810,SEQ
416720,420790,SEQ
422406,424126,SEQ
431260,453330,SEQ
455230,456830,SEQ
459530,463030,SEQ
464250,465590,SEQ
466140,468120,SEQ
471750,472770,SEQ
473650,474240,SEQ
477200,480690,SEQ
490050,491430,SEQ
493090,494490,SEQ
497880,500170,SEQ
508100,509210,SEQ
