coords,x_left,y_left,likelihood,x_right,y_right,likelihood
0,436.5343703,493.795054,0.999999762,244.0823567,501.1793362,1
1,436.5139156,493.7873287,0.999999762,244.0987017,501.1743299,1
2,436.7995051,493.6204056,0.999999762,243.9643482,501.1091011,1
3,436.5719368,493.6838499,0.999999762,243.933113,501.031202,1
4,436.62688,493.766381,0.999999762,243.8129712,501.126523,1
5,436.6613238,493.6277199,0.999999762,243.7922882,501.3049035,1
6,436.6041421,493.6024699,0.999999762,243.458509,501.2674344,1
7,436.6256395,493.6079043,0.999999762,243.5075885,501.2328811,1
8,436.6907828,493.5865808,0.999999762,243.4228987,501.2280606,1
9,436.6946476,493.6444067,0.999999762,243.5585769,501.1018376,1
10,436.5697646,493.6896654,0.999999762,243.5471041,501.1361051,1
11,436.5837594,493.531113,0.999999762,243.5704154,501.1502784,1
12,436.6515588,493.5068305,0.999999762,243.5729746,501.3887721,1
13,436.636121,493.5594975,0.999999762,243.5661804,501.4467119,1
14,436.5750126,493.7827562,0.999999762,243.5230184,501.6792446,1
15,436.7019856,493.5746685,0.999999762,243.4948031,501.5021551,1
16,436.6974043,493.7082753,0.999999762,243.5210444,501.5497358,1
17,436.6492761,493.7101747,0.999999762,243.6619685,501.5502678,1
18,436.6375794,493.5871946,0.999999762,243.5919058,501.510116,1
19,436.6398889,493.63478,0.999999762,243.4723597,501.4602314,1
20,436.7847102,493.561224,0.999999762,243.5257494,501.427219,1
21,436.6312369,493.5035129,0.999999762,243.6276395,501.3368796,1
22,436.6736063,493.5507432,0.999999762,243.8529294,501.3840817,1
23,436.7345435,493.3088492,0.999999762,243.7008395,501.3272978,1
24,436.6651289,493.3137842,0.999999762,243.7344393,501.2433795,1
25,436.7452489,493.356514,0.999999762,243.7830253,501.3885769,1
26,436.5273703,493.4930254,0.999999762,243.6188213,501.482928,1
27,436.6637486,493.3420451,0.999999762,243.7292711,501.4236865,1
28,436.6005943,493.3203608,0.999999762,243.6522903,501.4326148,1
29,436.474901,493.4642328,0.999999762,243.5443548,501.3628983,1
30,436.4649896,493.3330168,0.999999762,243.4772022,501.4123434,1
31,436.6259288,493.3284895,0.999999762,243.5245855,501.658685,1
32,436.6119452,493.190715,0.999999762,243.5266488,501.6868806,1
33,436.6237168,493.3333369,0.999999762,243.5709741,501.9079602,1
34,436.7595832,493.394761,0.999999762,243.4525636,501.7848094,1
35,436.6695865,493.446081,0.999999762,243.6528215,501.7576663,1
36,436.7166496,493.4433628,0.999999762,243.4742334,501.7779819,1
37,436.7935328,493.3534099,0.999999762,243.4876549,501.7723836,1
38,436.7861968,493.2201313,0.999999762,243.496878,501.7411978,1
39,436.624418,493.2158005,0.999999762,243.8189726,501.5722886,1
40,436.4948543,493.285421,0.999999762,243.6788095,501.8017061,1
41,436.6942605,493.4246486,0.999999762,243.6311483,501.5970647,1
42,436.7636507,493.3540936,0.999999762,243.6769355,501.6659971,1
43,436.8690912,493.3915693,0.999999762,243.7673108,501.4700605,1
44,437.0234036,493.2910949,0.999999762,243.6162182,501.4810133,1
45,436.8123786,493.3852794,0.999999762,243.6870762,501.4824727,1
46,436.8188321,493.3033214,0.999999762,243.7787707,501.5477777,1
47,436.7388711,493.3476429,0.999999762,243.6912459,501.6116762,1
48,436.8116052,493.4091699,0.999999762,243.6781301,501.6149641,1
49,437.0149513,493.4291513,0.999999762,243.6110752,501.587986,1
50,436.9594036,493.4785625,0.999999762,243.5801111,501.6644717,1
51,436.7703459,493.5270063,0.999999762,243.5242125,501.5586262,1
52,436.7893523,493.6385249,0.999999762,243.4689419,501.4781772,1
53,436.9393135,493.5965006,0.999999762,243.629109,501.7302933,1
54,436.8481424,493.5978202,0.999999762,243.5503859,501.5977695,1
55,436.9325052,493.6208224,0.999999762,243.2989892,501.738386,1
56,436.7890878,493.5745716,0.999999762,243.4407911,501.5854639,1
57,436.7574192,493.7396277,0.999999762,243.4684703,501.5652663,1
58,436.7870853,493.4453819,0.999999762,243.4030666,501.5656857,1
59,436.6154689,493.5869926,0.999999762,243.5088018,501.577325,1
60,436.7771401,493.5705743,0.999999762,243.6795038,501.4282033,1
61,436.7608635,493.5676901,0.999999762,243.5301768,501.4904425,1
62,436.8754495,493.6570451,0.999999762,243.6162178,501.589072,1
63,436.878629,493.6676834,0.999999762,243.4778972,501.1804131,1
64,436.7779502,493.7198973,0.999999762,243.2849888,501.3410801,1
65,436.9136871,493.709087,0.999999762,243.4548854,501.2807938,1
66,436.9327709,493.5441215,0.999999762,243.5673805,501.1995616,1
67,436.8542485,493.650462,0.999999762,243.6888638,501.1937298,1
68,436.8981707,493.5741774,0.999999762,243.5418214,501.1415553,1
69,437.0601844,493.5736017,0.999999762,243.4534708,501.1934223,1
70,437.0309596,493.5013754,0.999999762,243.4950467,501.125616,1
71,436.9626021,493.5881548,0.999999762,243.2172511,501.005156,1
72,437.1224465,493.5497113,0.999999762,243.3260296,501.0773286,1
73,437.1159596,493.5595413,0.999999762,243.3827986,501.0591378,1
74,436.9357713,493.5554397,0.999999762,243.4334436,501.2602109,1
75,436.8219727,493.4337085,0.999999762,243.4639884,501.3079051,1
76,436.846352,493.4518218,0.999999762,243.3961999,501.2446535,1
77,436.7203694,493.4511371,0.999999762,243.4947873,501.1388284,1
78,436.8557499,493.4764668,0.999999762,243.520385,501.2502385,1
79,436.7509803,493.632154,0.999999762,243.5493983,501.2019136,1
80,436.9963107,493.4405249,0.999999762,243.5637279,501.26641,1
81,436.9117681,493.391546,0.999999762,243.7044176,501.3574378,1
82,436.9702269,493.3752401,0.999999762,243.461046,501.7703846,1
83,436.6445222,493.3497972,0.999999762,243.5009681,501.3806305,1
84,436.7040156,493.3208679,0.999999762,243.4660543,501.5097833,1
85,436.6506798,493.4176042,0.999999762,243.7254231,501.314986,1
86,436.7820876,493.2166146,0.999999762,243.560978,501.447811,1
