"Begin Time - msec","End Time - msec","RS_Detail",
3933,4598,"O-Bestaetigung"
5147,5277,"P-DuPerspektive"
5277,5822,"V-motion"
5822,6006,"Pos-an"
6203,6622,"Aid-maskSg"
6748,7241,"L-strKr_01-Kr-zuAufSkulptur"
7241,7407,"Prep-mit"
7407,7653,"AttL-number"
7653,8016,"L-str_unbestimmbar"
8380,8712,"O-Versprecher"
8712,8832,"P-DuPerspektive"
8832,9048,"V-motion"
9048,9171,"Ad-maskSg"
9171,9481,"L-str_01-geschlaengeltZuAufSkulptur"
9481,9657,"Ad-maskSg"
9840,10097,"Pos-vor"
10097,10293,"P-DuPerspektive"
10293,10526,"V-static"
10526,10689,"Ad-maskSg"
11231,12200,"Pos-geradeaus"
12852,13065,"Pos-nach"
13065,13301,"Pos-vorne"
13301,14186,"V-static"
14899,15325,"T-wenn"
15325,15518,"P-DuPerspektive"
15518,15611,"Ad-maskSg"
15611,15984,"V-motion"
15984,16308,"V-motion"
16308,16467,"P-DuPerspektive"
16467,16637,"Dir-zu"
16637,16857,"Ad-femSg"
16857,17831,"L-lm1_skulptur"
18998,19304,"O-Bestaetigung"
19816,20419,"Dir-geradeaus"
21185,22757,"O-Kommentar"
23045,23674,"Dir-geradeaus"
23674,24046,"Pos-da"
24046,24327,"V-static"
24327,24820,"T-jetzt"
25214,25697,"O-Kommentar"
25697,26057,"O-Bestaetigung"
28082,28328,"Ad-femSg"
28328,28703,"L-lm1_skulptur"
28703,28912,"V-static"
29070,29780,"AttL-number"
30358,30575,"Ad-neuSg"
30575,30679,"V-static"
30859,31352,"Aid-maskSg"
31917,32785,"AttL-shape"
32785,33253,"L-lm1_skulptur-bauteile"
33299,33402,"Ad-maskSg"
33661,34157,"AttL-number"
34447,34904,"L-lm1_skulptur-bauteile"
34904,35301,"V-static"
35910,36274,"L-objekt-sg_unbestimmbar"
36274,36412,"L-objekt-sg_unbestimmbar"
36412,36656,"O-Negation"
36956,37267,"V-static"
37629,37803,"AttL-number"
37803,37895,"Prep-von"
37895,38144,"Ad-femPl"
38144,38627,"L-objekt-sg_unbestimmbar"
39292,39882,"AttL-color"
41396,41862,"AttL-color"
43764,44072,"O-Bestaetigung"
44072,44255,"V-static"
44255,44388,"Pos-auf"
44471,44562,"Aid-maskSg"
44562,44962,"L-lm1_sockel"
46109,46350,"T-dann"
46350,46533,"V-motion"
46533,46666,"P-DuPerspektive"
46666,46908,"Dir-rechts"
46908,47016,"Pos-da"
47274,47847,"Dir-vorbei"
48446,48937,"Dir-geradeaus"
48937,49519,"Dist-weiter"
51024,51257,"Dir-durch"
51257,51473,"Aid-femSg"
51473,51989,"L-baumallee-LBkl-pl"
52214,52372,"Pos-an"
52372,52538,"Pos-Ende"
52538,52688,"Prep-von"
52688,53328,"L-baumallee-LBkl-pl"
55169,55410,"V-static"
55410,55543,"P-DuPerspektive"
55543,55709,"Pos-vor"
55709,55809,"Ad-neuSg"
55809,56566,"L-lm2_rathaus"
56957,57057,"Ad-neuSg"
57057,57697,"L-lm2_rathaus"
59047,59321,"V-static"
59321,59496,"AttL-number"
59496,59845,"L-lm2_baum-LBkl-pl"
59845,60438,"Pos-davor"
60438,60680,"AttL-number"
60680,61420,"L-lm2_HH-tuer"
62401,62567,"Aid-femSg"
62567,62660,"Pos-in"
62660,62732,"Ad-maskSg"
62732,63004,"Pos-Mitte"
63004,63157,"Aid-maskSg"
63157,63640,"Pos-links"
64880,65308,"AttL-number"
65308,66335,"L-lm2_treppe-pl"
68188,68399,"O-Bestaetigung"
68533,68849,"Pos-da"
68849,69119,"V-motion"
69119,69266,"P-DuPerspektive"
69266,69670,"Dir-links"
69670,69914,"Dist-bis"
69914,70062,"Dir-zu"
70062,70540,"L-fluss"
70831,71083,"T-dann"
71083,71652,"Dir-rechts"
72595,72936,"Dir-links"
73681,73849,"Pos-an"
73849,73975,"Ad-maskSg"
73975,74262,"L-lm2_rathaus"
74262,74674,"Dir-vorbei"
75738,75965,"Dist-weiter"
75965,76643,"Dir-geradeaus"
76643,76887,"V-motion"
76887,77047,"Ad-maskSg"
77047,77430,"L-str_06-geschlaengeltZuAufKirchplatz"
78723,78946,"Pos-in"
78946,79098,"Ad-femSg"
79098,79376,"L-geb_05-MFH-pl-umKirchplatz"
79376,79860,"Dir-rein"
80661,80931,"T-dann"
