Begin Time - msec,End Time - msec,R.G.Sequence
8040,37130,SEQ
39920,43530,SEQ
44500,46860,SEQ
47370,48710,SEQ
49400,50230,SEQ
52340,53220,SEQ
53730,54540,SEQ
54940,56250,SEQ
57330,58530,SEQ
60710,62400,SEQ
63310,64860,SEQ
65680,66450,SEQ
69990,71910,SEQ
74260,77820,SEQ
78150,83040,SEQ
83830,86100,SEQ
102140,104760,SEQ
105690,107010,SEQ
107700,109220,SEQ
109840,112310,SEQ
113760,115960,SEQ
115960,117350,SEQ
121846,124510,SEQ
126730,127880,SEQ
130660,133230,SEQ
136650,137690,SEQ
137860,138770,SEQ
141040,142480,SEQ
147710,148660,SEQ
149030,151080,SEQ
157538,161248,SEQ
161500,166700,SEQ
177870,178630,SEQ
182150,184530,SEQ
185140,188800,SEQ
192110,202120,SEQ
205560,207020,SEQ
211690,213620,SEQ
213850,218050,SEQ
218500,219720,SEQ
221110,226320,SEQ
229620,231770,SEQ
235770,237790,SEQ
239550,242320,SEQ
242610,243830,SEQ
244520,247990,SEQ
250840,254550,SEQ
257640,262560,SEQ
263070,263790,SEQ
266440,271020,SEQ
271670,273230,SEQ
275290,276820,SEQ
278130,280510,SEQ
282090,283970,SEQ
285650,286460,SEQ
287520,288990,SEQ
289330,290900,SEQ
291020,294790,SEQ
295480,297990,SEQ
305550,309250,SEQ
315000,315930,SEQ
319080,320900,SEQ
321690,323450,SEQ
324370,326120,SEQ
326210,327627,SEQ
335090,337570,SEQ
337730,340690,SEQ
345510,348940,SEQ
350120,353320,SEQ
363014,366624,SEQ
367574,368764,SEQ
379708,381768,SEQ
382448,384740,SEQ
388338,392148,SEQ
393018,397450,SEQ
401108,403198,SEQ
403878,405370,SEQ
407266,408278,SEQ
419638,422188,SEQ
423128,426470,SEQ
426638,428740,SEQ
429058,431208,SEQ
431788,434158,SEQ
434920,436440,SEQ
438498,440420,SEQ
441540,442910,SEQ
475710,477040,SEQ
479720,492810,SEQ
496150,499080,SEQ
500030,501820,SEQ
503400,506860,SEQ
512850,516090,SEQ
516380,517950,SEQ
533650,536630,SEQ
537100,547210,SEQ
548160,550240,SEQ
551030,554930,SEQ
556470,558990,SEQ
562920,565750,SEQ
566033,567620,SEQ
573586,576113,SEQ
599330,603690,SEQ
618730,620410,SEQ
621590,624380,SEQ
624650,627920,SEQ
629430,637660,SEQ
637760,646250,SEQ
647590,650960,SEQ
651460,657080,SEQ
662366,663573,SEQ
670100,672910,SEQ
673160,674410,SEQ
674630,676750,SEQ
677690,678650,SEQ
680180,681890,SEQ
682150,682920,SEQ
683480,685120,SEQ
695110,699780,SEQ
707090,708810,SEQ
744450,749420,SEQ
755120,756890,SEQ
764770,766890,SEQ
782770,783860,SEQ
785070,788850,SEQ
789510,790710,SEQ
802930,804690,SEQ
805370,809100,SEQ
812050,813220,SEQ
814390,817940,SEQ
819700,822610,SEQ
824593,826090,SEQ
830740,832780,SEQ
836490,842020,SEQ
843820,844860,SEQ
847050,849070,SEQ
849410,851080,SEQ
861800,863150,SEQ
863550,868040,SEQ
869320,870390,SEQ
872010,873290,SEQ
873380,877910,SEQ
878430,880470,SEQ
887107,895867,SEQ
