coords,x_left,y_left,likelihood,x_right,y_right,likelihood
58,443.8602636,504.1468778,0.999998331,354.0145689,513.7558863,1
59,443.9043589,504.133215,0.99999845,354.0119379,513.659266,1
60,443.9010295,504.1131563,0.999998331,354.0059549,513.7780328,1
61,443.9375468,504.0766993,0.999998569,353.9677484,513.8098121,1
62,443.9046443,504.0902796,0.99999845,354.0055691,513.8331826,1
63,443.8879363,504.0762854,0.999998331,353.9205022,513.8817937,1
64,443.9003469,504.0585804,0.999998331,353.8657203,513.8676672,1
65,443.8774449,504.0826726,0.99999845,353.8951657,513.8976057,1
66,443.9058586,504.0500312,0.99999845,353.7836173,513.9930673,1
67,443.8807127,504.1487398,0.99999845,353.9069641,513.9492893,1
68,443.8704442,504.0724511,0.999998331,353.8919775,513.8767946,1
69,443.794944,504.0454254,0.999998331,353.8948822,513.8872309,1
70,443.8359139,504.1353827,0.999998331,353.9350605,513.8044467,1
71,443.8460353,504.0641994,0.999998331,353.9979806,513.8595364,1
72,443.9006616,504.0234809,0.999998331,354.0302448,513.9087067,1
73,443.8340372,504.0436902,0.999998331,354.020889,513.9457328,1
74,443.841364,504.0500937,0.999998331,353.9465337,513.9081142,1
75,443.8068248,504.0955439,0.999998331,354.0119596,513.8609822,1
76,443.8208504,504.0797229,0.999998331,353.9265561,513.8938642,1
77,443.7870223,504.0965543,0.999998331,353.8989661,513.8589361,1
78,443.7574692,504.0192804,0.99999845,353.9606297,513.7602232,1
79,443.8286167,504.0880485,0.999998331,353.9225442,513.9085793,1
80,443.8052904,504.0652914,0.99999845,353.9517789,513.8391395,1
81,443.7482899,504.0936904,0.99999845,353.8105488,513.8993783,1
82,443.8258997,504.1929913,0.999998331,353.8835094,513.8598011,1
83,443.7697752,504.178452,0.99999845,353.8450041,513.8555412,1
84,443.7410667,504.1596298,0.999998331,353.9051781,514.0533714,1
85,443.7974093,504.1216187,0.99999845,353.9331889,513.9503901,1
86,443.7613928,504.1729627,0.999998331,353.8826859,513.9481585,1
87,443.7209591,504.1863079,0.999998331,354.0079964,513.921005,1
88,443.7220868,504.1482382,0.999998331,354.0563724,513.9164464,1
89,443.7294776,504.1057506,0.999998331,354.0982126,513.8511491,1
90,443.6428422,504.0812731,0.999998331,354.1406134,513.9102705,1
91,443.6594582,504.0523777,0.999998331,353.9882309,514.0218418,1
92,443.6868337,504.0638108,0.999998331,353.9653058,514.0225091,1
93,443.7601394,504.0536423,0.99999845,353.9324422,514.0349407,1
94,443.7731088,504.0513544,0.999998331,354.0698481,514.0085853,1
95,443.8122444,504.045341,0.99999845,354.0731606,514.0223321,1
96,443.7232582,504.0947871,0.999998212,354.1086789,513.9888992,1
97,443.7207244,504.0746579,0.999998331,354.1282326,514.0000261,1
98,443.8059798,504.1292143,0.999998212,354.101172,513.9646797,1
99,443.6632577,504.0934253,0.999998331,354.083065,513.9862866,1
100,443.6804631,504.0641742,0.999998331,354.128154,514.0132381,1
101,443.6202515,504.0339651,0.99999845,354.13973,513.9852607,1
102,443.6979048,504.0675659,0.999998331,354.0853618,513.8660131,1
103,443.6723673,504.0793452,0.999998331,354.1422498,513.8705027,1
104,443.624622,504.1391225,0.999998093,354.1283411,513.8113041,1
105,443.5777737,504.1141343,0.999998212,354.1013417,513.932328,1
106,443.5709199,504.1025681,0.999998212,354.0098814,513.9495983,1
107,443.6710718,504.0756803,0.999998212,353.9883583,513.9185863,1
108,443.6281368,504.0869236,0.999998331,353.949213,513.9697449,1
109,443.691047,504.0837955,0.999998331,353.9861665,513.9663818,1
110,443.7560375,504.1256361,0.999998331,353.9475424,513.9216044,1
111,443.7709341,504.0544796,0.999998331,353.9492309,513.9285309,1
112,443.8349493,504.1226349,0.999998331,354.0241216,513.9993534,1
113,443.793501,504.1062522,0.999998331,353.9659059,513.9898555,1
114,443.8336952,504.1188035,0.999998212,353.9857936,514.0173267,1
115,443.8433431,504.1238613,0.999998212,353.9683757,513.9783521,1
116,443.7572864,504.0604358,0.999998331,353.9214091,514.0018041,1
117,443.6792841,504.1241908,0.999998212,353.9437473,513.9606566,1
118,443.6263364,504.1426353,0.999998212,353.8477759,513.9123089,1
119,443.728224,504.1395025,0.999998212,354.0223191,513.9272766,1
120,443.7173349,504.1011043,0.999998212,353.9786251,513.9645925,1
121,443.7304492,504.0798512,0.999998093,353.9248664,514.0024604,1
122,443.7258269,504.1273389,0.999997973,353.9201846,514.0223513,1
123,443.7698288,504.1349568,0.999998093,353.991955,513.9920301,1
124,443.9023429,504.0906858,0.999998212,354.0590293,513.9776912,1
125,443.925781,504.0904183,0.999998212,354.1506464,514.0212197,1
126,443.8755504,504.0969067,0.999998212,354.1339839,513.9497049,1
127,443.8277591,504.0749226,0.999998331,354.1465166,513.9579175,1
128,443.8064279,504.0414419,0.999998331,354.0208038,513.9200487,1
129,443.7723792,504.037704,0.999998331,354.1514547,513.9908595,1
130,443.8502424,504.1184335,0.999998331,354.0281643,513.8563299,1
131,443.8918919,504.1486316,0.999998093,354.0766976,513.8269603,1
132,443.8378491,504.1321006,0.999998212,354.0374593,513.8371143,1
133,443.798774,504.22787,0.999997973,354.0279849,513.8407514,1
134,443.7795205,504.1790895,0.999998093,353.9860575,513.8142757,1
135,443.7287552,504.142415,0.999998093,354.0483569,513.9213042,1
136,443.7180086,504.1598105,0.999997973,353.944026,513.8865929,1
137,443.7125356,504.1248837,0.999998212,354.0457616,513.7989371,1
138,443.7104501,504.1044559,0.999998331,354.0785214,513.8556423,1
139,443.7204209,504.0945044,0.999998331,354.140892,513.7867942,1
140,443.7564038,504.1349177,0.999998212,354.2114409,513.8419335,1
141,443.7870433,504.0992775,0.999998331,354.1737725,513.8431134,1
142,443.8892661,504.0919328,0.999998331,354.1670362,513.8090165,1
143,443.7991351,504.0220227,0.99999845,354.121659,513.8671119,1
144,443.7977545,504.0370002,0.99999845,354.1667504,513.8743472,1
145,443.8932906,504.0173717,0.99999845,354.1023147,513.9073653,1
146,443.8218209,504.0295663,0.999998331,354.1344886,513.8498702,1
147,443.7723733,504.0159597,0.999998331,354.0648983,513.7779243,1
148,443.8278514,504.0474238,0.999998331,353.9864142,513.8768344,1
149,443.7713887,504.0282841,0.99999845,354.0400099,513.8841641,1
150,443.8284797,503.9841182,0.999998331,353.9830096,513.8561537,1
151,443.6514872,504.0654068,0.999998212,354.0122945,513.9720888,1
152,443.6605951,504.1103411,0.999998212,353.9773183,513.902149,1
